Local time in Shanwei,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
18.02.2020 23:00,12.6,768.6,770.2,,65,Wind blowing from the east,2,,8,, ,,,9.6,18.5,,,,,,30.0,6.2,No precipitation,6,,,,
18.02.2020 20:00,14.4,767.8,769.3,0.9,57,Wind blowing from the east,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,18.5,,,,,,30.0,6.0,No precipitation,12,,,,
18.02.2020 17:00,16.0,766.9,768.5,,47,Wind blowing from the east-southeast,4,,8,no clouds, ,,,9.6,18.5,,,,,,30.0,4.7,No precipitation,6,,,,
18.02.2020 14:00,17.6,767.5,769.0,-2.7,30,Wind blowing from the east,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,17.8,,,,,,30.0,-0.1,No precipitation,12,,,,
18.02.2020 11:00,14.8,770.2,771.7,,32,Wind blowing from the north-east,2,,5,no clouds, ,,,9.6,17.7,,,,,,30.0,-1.7,No precipitation,6,,,,
18.02.2020 08:00,11.1,770.2,771.8,1.6,37,Wind blowing from the east,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,17.7,,,,,,30.0,-3.0,No precipitation,12,,,,
18.02.2020 05:00,10.4,768.6,770.2,,40,Wind blowing from the north-east,2,,6,, ,,,8.6,17.7,,,,,,30.0,-2.6,No precipitation,6,,,,
18.02.2020 02:00,10.8,768.8,770.4,-1.0,44,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,17.7,,,2500 or more  or no clouds.,,,30.0,-1.2,No precipitation,12,,,,
17.02.2020 23:00,12.9,769.8,771.4,,36,Wind blowing from the east,2,,10,, ,,,8.6,17.7,,,,,,30.0,-1.8,No precipitation,6,,,,
17.02.2020 20:00,13.7,769.0,770.7,,38,Wind blowing from the east-northeast,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,17.7,,,,,,30.0,-0.3,No precipitation,12,,,,
17.02.2020 17:00,17.0,767.6,769.2,,28,Wind blowing from the north,3,,10,no clouds, ,,,8.6,17.7,,,,,,30.0,-1.6,No precipitation,6,,,,
17.02.2020 14:00,16.6,767.5,769.1,-2.1,29,Wind blowing from the north,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,16.6,,,,,,30.0,-1.4,No precipitation,12,,,,
17.02.2020 11:00,13.0,769.6,771.2,,34,Wind blowing from the north,5,,10,no clouds, ,,,8.6,16.8,,,,,,30.0,-2.8,No precipitation,6,,,,
17.02.2020 08:00,8.9,769.1,770.8,,47,Wind blowing from the north-northeast,4,,10,no clouds,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,,,,,,,30.0,-2.0,Trace of precipitation,12,,,,
17.02.2020 05:00,9.4,767.2,768.9,,51,Wind blowing from the north-northeast,4,,11,, ,,,9.4,16.8,,,,,,30.0,-0.2,No precipitation,6,,,,
17.02.2020 02:00,10.7,767.2,768.8,0.2,49,Wind blowing from the north-northeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,18.4,,,2500 or more  or no clouds.,,,30.0,0.4,No precipitation,12,,,,
16.02.2020 23:00,11.4,767.0,768.6,,59,Wind blowing from the north,6,,14,, ,,,11.2,20.4,,,,,,30.0,3.6,No precipitation,6,,,,
16.02.2020 20:00,11.2,766.1,767.7,2.2,63,Wind blowing from the north-northeast,4,,17,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,20.5,,,1500-2000,,,30.0,4.4,0.1,12,,,,
16.02.2020 17:00,12.4,763.9,765.4,,60,Wind blowing from the north-northeast,6,,17,100%., ,,,12.0,21.3,,,1500-2000,,,30.0,4.8,No precipitation,6,,,,
16.02.2020 14:00,16.5,762.9,764.5,-1.3,54,Wind blowing from the north-east,4,,17,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,22.6,,,1500-2000,,,30.0,7.1,8.0,12,,,,
16.02.2020 11:00,13.2,764.2,765.8,,66,Wind blowing from the north-northeast,5,,17,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,22.6,,,1500-2000,,,30.0,6.9,6.0,6,,,,
16.02.2020 08:00,12.3,763.4,765.0,2.5,76,Wind blowing from the north-northeast,7,,15,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,22.6,,,1500-2000,,,30.0,8.2,15.0,12,,,,
16.02.2020 05:00,13.3,760.9,762.5,,88,Wind blowing from the north-northeast,5,,12,,Rain  not freezing  intermittent  moderate at time of observation. ,,,13.3,22.6,,,,,,6.0,11.3,9.0,6,,,,
16.02.2020 02:00,18.4,760.0,761.6,0.0,96,Wind blowing from the north-northeast,4,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,22.6,,,2500 or more  or no clouds.,,,7.0,17.7,7.0,12,,,,
15.02.2020 23:00,20.1,760.0,761.6,,99,Wind blowing from the east,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,19.1,22.6,,,,,,10.0,19.9,No precipitation,6,,,,
15.02.2020 20:00,20.2,759.0,760.6,1.3,98,Wind blowing from the east,5,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.1,22.6,,,1500-2000,,,13.0,19.8,No precipitation,12,,,,
15.02.2020 17:00,21.3,757.7,759.3,,93,Wind blowing from the east-southeast,3,,8,, ,,,19.1,22.6,,,,,,19.0,20.1,No precipitation,6,,,,
15.02.2020 14:00,22.2,758.2,759.7,-2.2,83,Wind blowing from the east-southeast,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.1,22.4,,,1500-2000,,,30.0,19.1,No precipitation,12,,,,
15.02.2020 11:00,20.7,760.4,762.0,,91,Wind blowing from the east,3,,8,100%., ,,,19.1,21.8,,,1500-2000,,,30.0,19.1,No precipitation,6,,,,
15.02.2020 08:00,19.6,759.8,761.4,0.1,96,Wind blowing from the east-northeast,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,21.8,,,1500-2000,,,20.0,18.9,No precipitation,12,,,,
15.02.2020 05:00,19.2,759.7,761.3,,97,Wind blowing from the east,2,,8,, ,,,18.4,21.8,,,,,,19.0,18.7,No precipitation,6,,,,
15.02.2020 02:00,19.5,760.4,762.0,-0.5,95,Wind blowing from the east,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,21.8,,,2500 or more  or no clouds.,,,25.0,18.6,No precipitation,12,,,,
14.02.2020 23:00,20.2,760.9,762.5,,97,Wind blowing from the east,1,,6,, ,,,18.2,21.8,,,,,,17.0,19.7,No precipitation,6,,,,
14.02.2020 20:00,20.1,760.0,761.6,1.0,95,Wind blowing from the east,3,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,21.8,,,1500-2000,,,22.0,19.2,3.0,12,,,,
14.02.2020 17:00,20.9,759.0,760.6,,92,Wind blowing from the east,3,,7,100%., ,,,18.2,21.8,,,1500-2000,,,30.0,19.5,0.8,6,,,,
14.02.2020 14:00,20.8,758.5,760.0,-2.7,94,Wind blowing from the east,2,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,21.0,,,1000-1500,,,30.0,19.8,6.0,12,,,,
14.02.2020 11:00,19.1,761.2,762.7,,100,Wind blowing from the east-southeast,1,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,19.9,,,1000-1500,,,8.0,19.1,5.0,6,,,,
14.02.2020 08:00,18.9,759.0,760.6,0.2,100,Wind blowing from the east,2,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,,,,600-1000,,,19.0,18.9,4.0,12,,,,
14.02.2020 05:00,18.4,758.8,760.3,,99,Wind blowing from the north,1,,4,, ,,,18.0,19.9,,,,,,16.0,18.2,0.1,6,,,,
14.02.2020 02:00,18.8,759.7,761.2,,100,Wind blowing from the east-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,19.9,,,2500 or more  or no clouds.,,,8.0,18.8,1.0,12,,,,
13.02.2020 23:00,18.8,760.4,762.0,,100,Wind blowing from the east-northeast,1,,6,, ,,,18.0,19.9,,,,,,10.0,18.8,0.1,6,,,,
13.02.2020 20:00,18.8,760.0,761.6,0.6,100,Wind blowing from the north-east,1,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,19.9,,,1500-2000,,,8.0,18.8,4.0,12,,,,
13.02.2020 17:00,19.6,759.4,760.9,,99,Wind blowing from the east,1,,6,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,,,,1500-2000,,,22.0,19.4,4.0,6,,,,
13.02.2020 14:00,19.8,759.6,761.2,-2.9,100,Wind blowing from the east,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,,,,1500-2000,,,12.0,19.8,3.0,12,,,,
13.02.2020 11:00,19.4,762.5,764.1,,98,Wind blowing from the north-northeast,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,,,,,,,8.0,19.0,No precipitation,6,,,,
13.02.2020 08:00,18.3,760.7,762.3,0.8,99,Wind blowing from the east-northeast,1,,,100%.,Fog or ice fog. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,,,,1500-2000,,,1.5,18.1,No precipitation,12,,,,
13.02.2020 05:00,18.3,759.9,761.5,,99,Wind blowing from the east,2,,3,,Fog or ice fog. ,,,18.0,24.1,,,,,,1.1,18.1,No precipitation,6,,,,
13.02.2020 02:00,18.2,761.0,762.6,-0.9,100,Calm  no wind,0,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,24.1,,,2500 or more  or no clouds.,,,6.0,18.2,No precipitation,12,,,,
12.02.2020 23:00,18.5,761.9,763.5,,98,Wind blowing from the north-east,0,,5,, ,,,18.3,24.1,,,,,,11.0,18.1,No precipitation,6,,,,
12.02.2020 20:00,19.8,761.3,762.9,0.7,97,Wind blowing from the west,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,24.1,,,,,,8.0,19.3,No precipitation,12,,,,
12.02.2020 17:00,22.4,760.6,762.2,,82,Wind blowing from the west-southwest,2,,5,no clouds, ,,,18.2,24.1,,,,,,19.0,19.1,No precipitation,6,,,,
12.02.2020 14:00,23.7,761.1,762.7,-2.1,76,Wind blowing from the south-west,2,,4,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,24.1,,,600-1000,,,17.0,19.2,No precipitation,12,,,,
12.02.2020 11:00,22.8,763.2,764.8,,79,Wind blowing from the east-southeast,1,,4,100%., ,,,18.2,22.9,,,1500-2000,,,15.0,18.9,No precipitation,6,,,,
12.02.2020 08:00,19.0,763.1,764.7,0.7,89,Wind blowing from the north-east,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,1500-2000,,,10.0,17.1,Trace of precipitation,12,,,,
12.02.2020 05:00,18.6,762.4,763.9,,90,Wind blowing from the south,0,,4,, ,,,,,,,,,,11.0,16.9,No precipitation,6,,,,
12.02.2020 02:00,18.4,763.0,764.6,,84,Wind blowing from the east-northeast,1,,,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.2,20.3,,,,,,12.0,15.6,No precipitation,6,,,,
11.02.2020 23:00,18.6,763.8,765.4,,81,Wind blowing from the east-northeast,2,,5,, ,,,16.2,20.3,,,,,,12.0,15.2,No precipitation,6,,,,
11.02.2020 20:00,18.4,763.6,765.2,0.2,83,Wind blowing from the east-northeast,2,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.2,20.3,,,1500-2000,,,15.0,15.4,Trace of precipitation,12,,,,
11.02.2020 17:00,19.0,763.4,765.0,,80,Wind blowing from the east-northeast,2,,5,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.2,20.3,,,1500-2000,,,13.0,15.4,No precipitation,6,,,,
11.02.2020 14:00,20.1,763.8,765.4,-1.5,68,Wind blowing from the north-northeast,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.2,20.1,,,1500-2000,,,20.0,14.0,No precipitation,12,,,,
11.02.2020 11:00,19.3,765.3,766.9,,66,Wind blowing from the north-east,3,,5,100%., ,,,16.2,19.4,,,1500-2000,,,19.0,12.8,No precipitation,6,,,,
11.02.2020 08:00,16.8,765.1,766.6,1.3,73,Wind blowing from the east-northeast,2,,,100%.,Cloud development not observed or not observable. ,Rain.,Drizzle.,,,,,1500-2000,,,14.0,11.9,Trace of precipitation,12,,,,
11.02.2020 05:00,16.3,763.8,765.4,,75,Wind blowing from the east,2,,4,, ,,,,,,,,,,12.0,11.8,No precipitation,6,,,,
11.02.2020 02:00,16.4,765.1,766.6,-0.9,77,Wind blowing from the north-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,19.2,,,2500 or more  or no clouds.,,,7.0,12.3,No precipitation,12,,,,
10.02.2020 23:00,16.7,766.0,767.5,,78,Wind blowing from the east-southeast,2,,5,, ,,,,19.2,,,,,,14.0,12.8,No precipitation,6,,,,
10.02.2020 20:00,16.9,765.6,767.2,0.5,74,Wind blowing from the south-southeast,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,19.2,,,1500-2000,,,21.0,12.2,No precipitation,12,,,,
10.02.2020 17:00,16.8,765.1,766.7,,74,Wind blowing from the west,2,,6,100%., ,,,12.6,19.2,,,1500-2000,,,23.0,12.1,No precipitation,6,,,,
10.02.2020 14:00,18.1,765.2,766.8,-2.3,60,Wind blowing from the south-west,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,19.2,,,2500 or more  or no clouds.,,,26.0,10.2,No precipitation,12,,,,
10.02.2020 11:00,16.7,767.5,769.0,,64,Wind blowing from the east-southeast,1,,,100%., ,,,12.6,17.9,,,1500-2000,,,28.0,9.8,No precipitation,6,,,,
10.02.2020 08:00,13.4,766.8,768.4,0.9,78,Wind blowing from the east-northeast,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,17.9,,,,,,30.0,9.6,No precipitation,12,,,,
10.02.2020 05:00,13.8,765.9,767.5,,77,Wind blowing from the east-northeast,1,,5,, ,,,13.6,17.9,,,,,,23.0,9.8,No precipitation,6,,,,
10.02.2020 02:00,14.0,767.2,768.8,-1.2,78,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,17.9,,,2500 or more  or no clouds.,,,22.0,10.2,No precipitation,12,,,,
09.02.2020 23:00,14.9,768.4,769.9,,75,Wind blowing from the east,1,,6,, ,,,13.6,17.9,,,,,,24.0,10.5,No precipitation,6,,,,
09.02.2020 20:00,15.1,767.8,769.4,0.9,74,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,17.9,,,2500 or more  or no clouds.,,,30.0,10.5,No precipitation,12,,,,
09.02.2020 17:00,15.7,766.9,768.5,,72,Wind blowing from the south-east,2,,,100%., ,,,13.6,18.9,,,1500-2000,,,23.0,10.6,No precipitation,6,,,,
09.02.2020 14:00,17.1,767.2,768.7,-2.7,64,Wind blowing from the east,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,19.1,,,2500 or more  or no clouds.,,,30.0,10.2,No precipitation,12,,,,
09.02.2020 11:00,15.1,769.9,771.5,,67,Wind blowing from the north-east,3,,7,100%., ,,,13.6,19.1,,,1500-2000,,,30.0,9.0,No precipitation,6,,,,
09.02.2020 08:00,13.7,769.0,770.5,,72,Wind blowing from the east-northeast,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,19.1,,,1500-2000,,,30.0,8.7,No precipitation,12,,,,
09.02.2020 05:00,14.3,767.9,769.5,,72,Wind blowing from the east-northeast,2,,6,, ,,,14.3,19.1,,,,,,30.0,9.3,No precipitation,6,,,,
09.02.2020 02:00,15.3,768.6,770.2,-0.1,83,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,19.1,,,2500 or more  or no clouds.,,,22.0,12.4,No precipitation,12,,,,
08.02.2020 23:00,16.2,768.7,770.2,,80,Wind blowing from the east-northeast,1,,6,, ,,,15.1,19.1,,,,,,27.0,12.7,No precipitation,6,,,,
08.02.2020 20:00,16.4,767.5,769.0,,82,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,19.1,,,2500 or more  or no clouds.,,,30.0,13.3,No precipitation,12,,,,
08.02.2020 17:00,18.9,766.1,767.7,,61,Wind blowing from the east-northeast,2,,8,60%., ,,,15.1,19.3,,,600-1000,,,30.0,11.2,No precipitation,6,,,,
08.02.2020 14:00,18.0,766.2,767.8,-1.7,64,Wind blowing from the east-northeast,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,20.0,,,1500-2000,,,30.0,11.1,No precipitation,12,,,,
08.02.2020 11:00,16.1,767.9,769.5,,71,Wind blowing from the north-northeast,3,,8,100%., ,,,15.1,,,,1500-2000,,,30.0,10.8,No precipitation,6,,,,
08.02.2020 08:00,15.2,766.7,768.3,1.0,73,Wind blowing from the east-northeast,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,,,,1500-2000,,,30.0,10.4,No precipitation,12,,,,
08.02.2020 05:00,15.4,765.7,767.2,,76,Wind blowing from the north-northeast,4,,7,, ,,,15.3,20.1,,,,,,30.0,11.2,No precipitation,6,,,,
08.02.2020 02:00,16.2,766.0,767.6,0.0,75,Wind blowing from the north,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.1,20.1,,,2500 or more  or no clouds.,,,30.0,11.7,No precipitation,12,,,,
07.02.2020 23:00,16.6,766.0,767.5,,79,Wind blowing from the east-northeast,1,,5,, ,,,16.1,20.1,,,,,,30.0,12.9,No precipitation,6,,,,
07.02.2020 20:00,16.9,765.0,766.6,,90,Wind blowing from the east,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,20.1,,,,,,20.0,15.2,No precipitation,12,,,,
07.02.2020 17:00,19.3,763.7,765.3,,75,Wind blowing from the west,2,,5,20–30%., ,,,16.3,20.1,,,600-1000,,,15.0,14.7,No precipitation,6,,,,
07.02.2020 14:00,19.0,764.2,765.8,-1.6,73,Wind blowing from the west,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,20.1,,,2500 or more  or no clouds.,,,17.0,14.0,No precipitation,12,,,,
07.02.2020 11:00,19.6,765.8,767.4,,68,Wind blowing from the east,1,,4,, ,,,15.8,19.7,,,,,,20.0,13.5,No precipitation,6,,,,
07.02.2020 08:00,16.6,765.1,766.6,1.6,78,Wind blowing from the east-northeast,1,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,19.3,,,1500-2000,,,18.0,12.7,No precipitation,12,,,,
07.02.2020 05:00,16.4,763.5,765.1,,75,Wind blowing from the east,2,,4,, ,,,14.5,19.3,,,,,,17.0,11.9,No precipitation,6,,,,
07.02.2020 02:00,16.7,763.9,765.5,-0.5,79,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,19.3,,,2500 or more  or no clouds.,,,15.0,13.0,No precipitation,12,,,,
06.02.2020 23:00,17.1,764.4,766.0,,76,Wind blowing from the north-east,1,,8,, ,,,14.5,19.3,,,,,,17.0,12.8,No precipitation,6,,,,
06.02.2020 20:00,17.7,763.3,764.8,1.1,72,Wind blowing from the east,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,19.3,,,1500-2000,,,22.0,12.5,No precipitation,12,,,,
06.02.2020 17:00,18.3,762.2,763.8,,65,Wind blowing from the east,3,,8,100%., ,,,14.5,19.3,,,1500-2000,,,30.0,11.6,No precipitation,6,,,,
06.02.2020 14:00,19.2,762.7,764.2,-2.2,60,Wind blowing from the east,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,19.2,,,2500 or more  or no clouds.,,,30.0,11.2,No precipitation,12,,,,
06.02.2020 11:00,15.8,764.9,766.5,,63,Wind blowing from the north-east,2,,11,100%., ,,,14.5,18.5,,,1500-2000,,,30.0,8.7,No precipitation,6,,,,
06.02.2020 08:00,14.7,764.8,766.3,0.6,69,Wind blowing from the north-east,1,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,18.5,,,1500-2000,,,30.0,9.0,No precipitation,12,,,,
06.02.2020 05:00,14.6,764.2,765.8,,67,Wind blowing from the east-northeast,3,,11,, ,,,14.6,18.5,,,,,,30.0,8.5,No precipitation,6,,,,
06.02.2020 02:00,14.9,765.3,766.9,-0.1,73,Wind blowing from the east-northeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,18.5,,,2500 or more  or no clouds.,,,30.0,10.1,No precipitation,12,,,,
05.02.2020 23:00,16.2,765.4,767.0,,73,Wind blowing from the east,4,,9,, ,,,15.5,18.5,,,,,,30.0,11.3,No precipitation,6,,,,
05.02.2020 20:00,16.3,764.3,765.9,1.0,77,Wind blowing from the east,4,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,18.5,,,1500-2000,,,30.0,12.2,No precipitation,12,,,,
05.02.2020 17:00,17.7,763.3,764.9,,76,Wind blowing from the east,2,,7,100%., ,,,15.5,18.8,,,1500-2000,,,30.0,13.4,No precipitation,6,,,,
05.02.2020 14:00,17.3,763.8,765.4,,77,Wind blowing from the east,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,19.1,,,1500-2000,,,30.0,13.2,No precipitation,12,,,,
05.02.2020 11:00,17.9,765.5,767.1,,76,Wind blowing from the east-northeast,3,,7,, ,,,15.5,19.1,,,,,,30.0,13.6,No precipitation,6,,,,
05.02.2020 08:00,15.7,765.2,766.8,1.3,88,Wind blowing from the east-northeast,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,19.1,,,1500-2000,,,30.0,13.7,No precipitation,12,,,,
05.02.2020 05:00,15.8,763.9,765.4,,88,Wind blowing from the east,2,,,, ,,,15.0,19.1,,,,,,30.0,13.8,No precipitation,6,,,,
05.02.2020 02:00,16.5,764.3,765.9,-0.5,84,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,19.1,,,2500 or more  or no clouds.,,,30.0,13.7,No precipitation,12,,,,
04.02.2020 23:00,17.1,764.8,766.3,,78,Wind blowing from the north-east,1,,6,, ,,,15.0,19.1,,,,,,30.0,13.2,No precipitation,6,,,,
