Local time in Qinzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
19.02.2020 17:00,18.4,761.2,765.8,,67,Wind blowing from the north-east,1,,,100%., ,,,12.9,19.7,,,1500-2000,,,12.0,12.2,No precipitation,6,,,,
19.02.2020 14:00,17.3,763.0,767.5,-2.0,64,Wind blowing from the north-east,1,,,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,20.8,,,1500-2000,,,14.0,10.4,No precipitation,12,,,,
19.02.2020 11:00,14.9,765.0,769.6,,81,Wind blowing from the north-west,1,,3,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,,,,1500-2000,,,10.0,11.7,No precipitation,6,,,,
19.02.2020 08:00,13.7,763.9,768.5,1.1,76,Wind blowing from the north,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,,,,1500-2000,,,10.0,9.6,No precipitation,12,,,,
19.02.2020 05:00,13.5,762.8,767.4,,68,Wind blowing from the north-northeast,2,,6,, ,,,12.9,20.8,,,,,,13.0,7.7,No precipitation,6,,,,
19.02.2020 02:00,13.3,763.7,768.3,-0.3,71,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,20.8,,,2500 or more  or no clouds.,,,14.0,8.0,No precipitation,12,,,,
18.02.2020 23:00,13.1,764.0,768.6,,58,Wind blowing from the north-west,1,,6,, ,,,13.1,20.8,,,,,,30.0,5.0,No precipitation,6,,,,
18.02.2020 20:00,15.3,763.0,767.6,0.8,51,Wind blowing from the south-southwest,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,20.8,,,,,,22.0,5.2,No precipitation,12,,,,
18.02.2020 17:00,19.7,762.2,766.8,,32,Wind blowing from the east,1,,7,no clouds, ,,,13.1,20.8,,,,,,30.0,2.6,No precipitation,6,,,,
18.02.2020 14:00,19.2,763.9,768.4,-2.7,30,Wind blowing from the north,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,19.6,,,,,,30.0,1.2,No precipitation,12,,,,
18.02.2020 11:00,15.9,766.6,771.1,,37,Wind blowing from the north-northeast,3,,7,90  or more  but not 100%, ,,,13.1,17.1,,,2500 or more  or no clouds.,,,29.0,1.2,No precipitation,6,,,,
18.02.2020 08:00,13.2,766.4,771.1,1.1,40,Wind blowing from the north-northeast,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,,,,1500-2000,,,30.0,-0.1,No precipitation,12,,,,
18.02.2020 05:00,13.2,765.3,769.9,,46,Wind blowing from the north-northeast,3,,5,, ,,,10.8,17.1,,,,,,24.0,1.8,No precipitation,6,,,,
18.02.2020 02:00,13.3,766.1,770.7,-0.5,46,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,17.1,,,2500 or more  or no clouds.,,,20.0,1.9,No precipitation,12,,,,
17.02.2020 23:00,13.7,766.6,771.2,,47,Wind blowing from the north,1,,11,, ,,,10.8,17.1,,,,,,21.0,2.6,No precipitation,6,,,,
17.02.2020 20:00,14.3,765.9,770.5,1.4,45,Wind blowing from the north,2,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,17.1,,,1500-2000,,,22.0,2.5,No precipitation,12,,,,
17.02.2020 17:00,16.0,764.5,769.1,,34,Wind blowing from the north,3,,11,90  or more  but not 100%, ,,,10.8,17.1,,,1500-2000,,,30.0,0.2,No precipitation,6,,,,
17.02.2020 14:00,17.0,765.4,770.0,-2.5,32,Wind blowing from the north,5,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,17.1,,,2500 or more  or no clouds.,,,30.0,0.2,No precipitation,12,,,,
17.02.2020 11:00,13.2,767.9,772.6,,42,Calm  no wind,0,,,90  or more  but not 100%, ,,,10.7,15.5,,,1500-2000,,,30.0,0.6,No precipitation,6,,,,
17.02.2020 08:00,11.4,767.1,771.7,1.8,43,Wind blowing from the north,5,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,1500-2000,,,30.0,-0.7,No precipitation,12,,,,
17.02.2020 05:00,12.1,765.3,769.9,,41,Calm  no wind,0,,,, ,,,8.8,15.5,,,,,,30.0,-0.7,No precipitation,6,,,,
17.02.2020 02:00,12.3,764.8,769.3,-0.3,47,Wind blowing from the north,4,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,15.5,,,2500 or more  or no clouds.,,,30.0,1.3,No precipitation,12,,,,
16.02.2020 23:00,12.5,765.1,769.8,,46,Wind blowing from the north,4,,16,, ,,,8.8,15.5,,,,,,30.0,1.2,No precipitation,6,,,,
16.02.2020 20:00,12.8,763.6,768.3,1.7,50,Wind blowing from the north-northeast,4,,18,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,18.4,,,1500-2000,,,30.0,2.6,0.9,12,,,,
16.02.2020 17:00,14.7,761.9,766.5,,45,Wind blowing from the north,6,,18,20–30%., ,,,8.8,,,,1500-2000,,,30.0,2.9,No precipitation,6,,,,
16.02.2020 14:00,15.3,762.8,767.4,-2.5,48,Wind blowing from the north,6,,18,40%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,,,,600-1000,,,30.0,4.4,1.0,12,,,,
16.02.2020 11:00,10.7,765.3,769.9,,67,Wind blowing from the north,6,,18,70 – 80%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,,,,600-1000,,,30.0,4.8,1.0,6,,,,
16.02.2020 08:00,10.1,763.8,768.4,2.0,63,Wind blowing from the north,7,,18,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,28.1,,,600-1000,,,30.0,3.2,0.3,12,,,,
16.02.2020 05:00,11.0,761.8,766.3,,65,Calm  no wind,0,,,, ,,,11.0,28.1,,,,,,30.0,4.7,No precipitation,6,,,,
16.02.2020 02:00,12.1,761.1,765.6,1.6,64,Wind blowing from the north,8,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,28.1,,,2500 or more  or no clouds.,,,30.0,5.5,No precipitation,12,,,,
15.02.2020 23:00,13.9,759.5,764.0,,70,Wind blowing from the north,7,,16,, ,,,13.9,28.1,,,,,,30.0,8.5,No precipitation,6,,,,
15.02.2020 20:00,18.4,755.9,760.3,3.7,71,Wind blowing from the north-northeast,8,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,28.1,,,600-1000,,,29.0,13.1,Trace of precipitation,12,,,,
15.02.2020 17:00,26.2,752.2,756.5,,81,Wind blowing from the south,4,,,90  or more  but not 100%, ,,,20.6,28.1,,,600-1000,,,22.0,22.7,No precipitation,6,,,,
15.02.2020 14:00,26.4,752.6,757.0,-2.0,84,Wind blowing from the south-southwest,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.6,27.3,,,600-1000,,,30.0,23.5,19.0,12,,,,
15.02.2020 11:00,23.9,754.6,759.1,,94,Wind blowing from the south-southeast,2,,7,90  or more  but not 100%, ,,,20.6,26.9,,,600-1000,,,17.0,22.9,2.0,6,,,,
15.02.2020 08:00,21.0,753.5,757.9,1.4,100,Wind blowing from the east-southeast,1,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.8,,,,600-1000,,,2.0,21.0,19.0,12,,,,
15.02.2020 05:00,21.0,752.1,756.5,,99,Wind blowing from the south-southeast,2,,7,,Rain (not freezing) not falling as shower(s). ,,,19.6,26.9,,,,,,5.0,20.8,17.0,6,,,,
15.02.2020 02:00,22.2,752.2,756.6,-1.1,99,Wind blowing from the east,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.6,26.9,,,2500 or more  or no clouds.,,,7.0,22.0,0.2,12,,,,
14.02.2020 23:00,21.7,753.3,757.7,,99,Wind blowing from the north,1,,8,,Rain (not freezing) not falling as shower(s). ,,,19.6,26.9,,,,,,12.0,21.5,0.1,6,,,,
14.02.2020 20:00,21.9,751.7,756.1,0.5,99,Wind blowing from the west-northwest,1,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.6,26.9,,,600-1000,,,15.0,21.7,No precipitation,12,,,,
14.02.2020 17:00,24.2,751.2,755.6,,87,Wind blowing from the south,3,,8,90  or more  but not 100%, ,,,19.6,26.9,,,600-1000,,,30.0,21.9,No precipitation,6,,,,
14.02.2020 14:00,25.8,751.9,756.2,-2.2,83,Wind blowing from the south-southwest,3,,6,70 – 80%.,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.6,26.2,,,600-1000,,,30.0,22.7,1.0,12,,,,
14.02.2020 11:00,23.1,754.1,758.5,,97,Wind blowing from the south-east,2,,5,100%.,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.6,25.2,,,600-1000,,,25.0,22.6,No precipitation,6,,,,
14.02.2020 08:00,19.8,753.7,758.1,1.1,99,Wind blowing from the west-southwest,1,,5,100%.,Fog or ice fog  sky visible (has become thinner during the preceding hour). ,Rain.,Fog or ice fog or thick haze.,18.8,,,,600-1000,,,0.5,19.6,5.0,12,,,,
14.02.2020 05:00,19.8,752.6,757.0,,99,Wind blowing from the south-west,2,,5,,Mist. ,,,18.5,,,,,,,1.0,19.6,5.0,6,,,,
14.02.2020 02:00,20.2,753.4,757.8,-0.4,99,Wind blowing from the south-southeast,1,,7,,Rain  not freezing  intermittent  heavy at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,25.2,,,2500 or more  or no clouds.,,,0.8,20.0,4.0,12,,,,
13.02.2020 23:00,20.0,753.8,758.2,,100,Wind blowing from the east,0,,7,,Mist. ,,,18.4,25.2,,,,,,1.9,20.0,No precipitation,6,,,,
13.02.2020 20:00,20.3,753.4,757.8,0.3,99,Wind blowing from the south-west,2,,7,90  or more  but not 100%,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,25.2,,,600-1000,,,2.7,20.1,Trace of precipitation,12,,,,
13.02.2020 17:00,21.8,753.1,757.5,,97,Wind blowing from the south-west,3,,7,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,25.2,,,600-1000,,,7.0,21.3,No precipitation,6,,,,
13.02.2020 14:00,24.2,754.2,758.6,-2.7,85,Wind blowing from the south-southwest,4,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,25.2,,,2500 or more  or no clouds.,,,29.0,21.5,17.0,12,,,,
13.02.2020 11:00,22.0,756.9,761.3,,93,Wind blowing from the south-southeast,3,,5,100%., ,,,18.4,22.4,,,600-1000,,,30.0,20.8,0.9,6,,,,
13.02.2020 08:00,18.8,756.8,761.3,1.1,99,Wind blowing from the east-southeast,2,,5,100%.,Mist. ,Rain.,Fog or ice fog or thick haze.,17.9,,,,600-1000,,,4.1,18.6,26.0,12,,,,
13.02.2020 05:00,18.6,755.7,760.1,,99,Wind blowing from the north,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,17.6,21.5,,,,,,4.9,18.4,25.0,6,,,,
13.02.2020 02:00,19.0,756.1,760.5,-1.1,99,Wind blowing from the south-east,2,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,21.5,,,2500 or more  or no clouds.,,,0.5,18.8,10.0,12,,,,
12.02.2020 23:00,19.1,757.2,761.7,,99,Wind blowing from the south-southwest,2,,6,,Mist. ,,,17.3,21.5,,,,,,1.1,18.9,No precipitation,6,,,,
12.02.2020 20:00,19.4,756.5,761.0,0.4,100,Wind blowing from the west,2,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,21.5,,,1500-2000,,,3.6,19.4,No precipitation,12,,,,
12.02.2020 17:00,20.8,756.1,760.6,,98,Wind blowing from the south-southwest,2,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,21.5,,,1500-2000,,,5.0,20.5,No precipitation,6,,,,
12.02.2020 14:00,21.0,757.6,762.1,-1.8,98,Wind blowing from the south-west,2,,4,100%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,21.1,,,1500-2000,,,6.0,20.7,0.4,12,,,,
12.02.2020 11:00,19.3,759.4,763.9,,99,Wind blowing from the east-southeast,2,,4,100%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,19.9,,,1500-2000,,,2.0,19.1,0.4,6,,,,
12.02.2020 08:00,18.0,759.0,763.5,0.4,99,Wind blowing from the east-southeast,1,,4,100%.,Fog or ice fog  sky invisible  has begun or has become thicker during the preceding hour. ,Rain.,Drizzle.,,,,,2500 or more  or no clouds.,,,0.2,17.8,0.4,12,,,,
12.02.2020 05:00,17.6,758.6,763.1,,99,Wind blowing from the north-east,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,,19.9,,,,,,0.8,17.4,No precipitation,6,,,,
12.02.2020 02:00,17.9,759.2,763.7,-0.4,100,Wind blowing from the south-east,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,19.9,,,2500 or more  or no clouds.,,,2.5,17.9,No precipitation,12,,,,
11.02.2020 23:00,17.4,759.6,764.1,,99,Wind blowing from the south-southeast,1,,4,,Mist. ,,,14.8,19.9,,,,,,2.3,17.2,No precipitation,6,,,,
11.02.2020 20:00,18.3,758.5,763.0,0.2,99,Wind blowing from the west-southwest,2,,5,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,19.9,,,1500-2000,,,4.4,18.1,0.2,12,,,,
11.02.2020 17:00,18.9,758.3,762.8,,95,Wind blowing from the south-southwest,3,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,19.9,,,1000-1500,,,4.6,18.1,0.2,6,,,,
11.02.2020 14:00,17.5,759.7,764.2,-1.8,99,Wind blowing from the west,1,,5,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,18.3,,,1000-1500,,,2.8,17.3,0.3,12,,,,
11.02.2020 11:00,16.7,761.5,766.0,,99,Wind blowing from the north-east,0,,5,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,18.3,,,1000-1500,,,5.0,16.5,0.1,6,,,,
11.02.2020 08:00,15.0,760.6,765.2,0.9,99,Wind blowing from the east,3,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,1000-1500,,,3.2,14.8,0.1,12,,,,
11.02.2020 05:00,15.5,759.7,764.2,,95,Wind blowing from the east-northeast,2,,,,Mist. ,,,11.0,18.3,,,,,,6.0,14.7,No precipitation,6,,,,
11.02.2020 02:00,15.1,761.2,765.7,-0.7,99,Wind blowing from the north-northeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,18.3,,,2500 or more  or no clouds.,,,8.0,14.9,No precipitation,12,,,,
10.02.2020 23:00,15.1,761.9,766.5,,98,Wind blowing from the north-west,1,,5,, ,,,11.0,18.3,,,,,,8.0,14.8,No precipitation,6,,,,
10.02.2020 20:00,15.6,761.0,765.6,0.3,94,Wind blowing from the west-northwest,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,18.3,,,1500-2000,,,7.0,14.6,Trace of precipitation,12,,,,
10.02.2020 17:00,17.5,760.7,765.3,,81,Wind blowing from the north-east,1,,5,90  or more  but not 100%, ,,,11.0,18.3,,,600-1000,,,12.0,14.2,No precipitation,6,,,,
10.02.2020 14:00,16.1,762.1,766.7,-2.4,80,Wind blowing from the north-east,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,16.2,,,600-1000,,,8.0,12.7,Trace of precipitation,12,,,,
10.02.2020 11:00,13.2,764.5,769.2,,90,Wind blowing from the east,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,14.4,,,1500-2000,,,13.0,11.6,No precipitation,6,,,,
10.02.2020 08:00,11.1,763.6,768.3,0.9,94,Wind blowing from the north,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,14.4,,,1500-2000,,,16.0,10.2,No precipitation,12,,,,
10.02.2020 05:00,11.6,762.7,767.3,,84,Wind blowing from the north-northwest,2,,7,, ,,,10.9,14.4,,,,,,29.0,9.0,No precipitation,6,,,,
10.02.2020 02:00,11.9,763.6,768.2,-1.9,79,Wind blowing from the north,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,14.4,,,2500 or more  or no clouds.,,,29.0,8.4,No precipitation,12,,,,
09.02.2020 23:00,12.2,765.5,770.2,,82,Wind blowing from the north,2,,11,, ,,,10.3,14.4,,,,,,30.0,9.2,No precipitation,6,,,,
09.02.2020 20:00,12.9,765.1,769.7,0.8,81,Wind blowing from the north,2,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,14.4,,,600-1000,,,30.0,9.7,No precipitation,12,,,,
09.02.2020 17:00,14.1,764.3,769.0,,71,Wind blowing from the north,5,,11,100%., ,,,10.3,14.4,,,600-1000,,,30.0,8.9,No precipitation,6,,,,
09.02.2020 14:00,13.0,765.6,770.2,-2.2,77,Wind blowing from the north,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,13.0,,,600-1000,,,30.0,9.1,0.2,12,,,,
09.02.2020 11:00,11.6,767.8,772.4,,80,Wind blowing from the north,5,,10,100%., ,,,10.3,12.7,,,1500-2000,,,30.0,8.3,No precipitation,6,,,,
09.02.2020 08:00,11.0,766.6,771.3,1.2,86,Wind blowing from the north,4,,10,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,12.7,,,1500-2000,,,30.0,8.8,0.2,12,,,,
09.02.2020 05:00,10.9,765.4,770.0,,90,Wind blowing from the north,4,,10,, ,,,10.3,12.7,,,,,,30.0,9.3,0.2,6,,,,
09.02.2020 02:00,10.5,766.0,770.7,-0.3,99,Wind blowing from the north,4,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,12.9,,,2500 or more  or no clouds.,,,14.0,10.3,No precipitation,12,,,,
08.02.2020 23:00,10.6,766.3,770.9,,99,Wind blowing from the north,4,,10,, ,,,10.6,13.0,,,,,,8.0,10.4,No precipitation,6,,,,
08.02.2020 20:00,11.5,764.8,769.5,1.1,92,Wind blowing from the north,4,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,13.4,,,600-1000,,,30.0,10.2,Trace of precipitation,12,,,,
08.02.2020 17:00,11.8,763.7,768.4,,92,Wind blowing from the north,5,,10,100%., ,,,11.7,,,,600-1000,,,30.0,10.5,No precipitation,6,,,,
08.02.2020 14:00,12.1,763.9,768.6,-1.2,94,Wind blowing from the north,6,,10,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,14.1,,,600-1000,,,30.0,11.2,0.3,12,,,,
08.02.2020 11:00,11.9,765.1,769.8,,99,Wind blowing from the north,4,,7,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,14.4,,,300-600,,,7.0,11.7,0.1,6,,,,
08.02.2020 08:00,12.3,763.1,767.7,0.9,99,Wind blowing from the north,2,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,14.4,,,1500-2000,,,8.0,12.1,0.3,12,,,,
08.02.2020 05:00,12.4,762.2,766.8,,99,Calm  no wind,0,,,,Mist. ,,,12.4,15.1,,,,,,3.9,12.2,0.2,6,,,,
08.02.2020 02:00,12.9,762.4,767.0,-0.3,99,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,,,,2500 or more  or no clouds.,,,12.0,12.7,No precipitation,12,,,,
07.02.2020 23:00,12.9,762.7,767.3,,99,Wind blowing from the north,3,,7,, ,,,12.9,,,,,,,10.0,12.7,No precipitation,6,,,,
07.02.2020 20:00,13.4,761.6,766.2,1.0,99,Wind blowing from the north,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,,,,1500-2000,,,10.0,13.2,0.1,12,,,,
07.02.2020 17:00,14.0,760.6,765.2,,99,Wind blowing from the north-northwest,3,,7,100%., ,,,13.6,,,,1500-2000,,,17.0,13.8,No precipitation,6,,,,
07.02.2020 14:00,13.9,761.3,765.9,-1.5,99,Wind blowing from the north-northwest,5,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,21.2,,,600-1000,,,7.0,13.7,4.0,12,,,,
07.02.2020 11:00,14.1,762.8,767.4,,99,Wind blowing from the north-northwest,3,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,21.2,,,300-600,,,6.0,13.9,3.0,6,,,,
07.02.2020 08:00,14.1,761.4,766.0,2.0,99,Wind blowing from the north,3,,8,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,21.2,,,300-600,,,3.8,13.9,4.0,12,,,,
07.02.2020 05:00,15.1,759.4,763.9,,99,Wind blowing from the north-northeast,4,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.6,21.2,,,,,,5.0,14.9,1.0,6,,,,
07.02.2020 02:00,16.8,759.3,763.8,0.1,99,Wind blowing from the north-northeast,4,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,21.2,,,2500 or more  or no clouds.,,,3.6,16.6,0.9,12,,,,
06.02.2020 23:00,16.6,759.2,763.7,,99,Wind blowing from the north-northeast,2,,7,,Rain (not freezing) not falling as shower(s). ,,,12.7,21.2,,,,,,3.9,16.4,0.3,6,,,,
06.02.2020 20:00,16.4,758.0,762.5,1.2,99,Wind blowing from the north-northwest,1,,9,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,21.2,,,600-1000,,,10.0,16.2,5.0,12,,,,
06.02.2020 17:00,17.7,756.8,761.3,,99,Wind blowing from the north-northwest,2,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,21.2,,,600-1000,,,8.0,17.5,0.3,6,,,,
06.02.2020 14:00,21.2,757.3,761.8,-2.1,95,Wind blowing from the south-southeast,4,,11,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,21.2,,,600-1000,,,13.0,20.4,8.0,12,,,,
06.02.2020 11:00,18.3,759.4,763.9,,99,Wind blowing from the south-east,2,,11,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,18.5,,,600-1000,,,4.9,18.1,8.0,6,,,,
06.02.2020 08:00,15.9,758.8,763.3,1.5,99,Wind blowing from the west-northwest,4,,11,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,15.9,,,300-600,,,2.4,15.7,4.0,12,,,,
06.02.2020 05:00,13.7,757.3,761.9,,99,Wind blowing from the east,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.0,13.7,,,,,,2.1,13.5,0.1,6,,,,
06.02.2020 02:00,13.0,758.7,763.3,-0.4,99,Wind blowing from the north,0,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.4,,,2500 or more  or no clouds.,,,2.6,12.8,1.0,12,,,,
