Local time in Changling Economic Development Area,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
20.02.2020 05:00,-6.0,755.8,774.3,,59,Wind blowing from the south,2,,4,, ,,,-11.2,-0.3,,,,,,23.0,-12.8,No precipitation,6,,,,
20.02.2020 02:00,-5.9,755.8,774.2,,63,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,-0.3,,,2500 or more  or no clouds.,,,21.0,-11.9,No precipitation,12,,,,
19.02.2020 20:00,-4.7,754.9,773.6,0.9,58,Wind blowing from the east-northeast,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,-0.3,,,,,,15.0,-11.8,No precipitation,12,,,,
19.02.2020 17:00,-1.2,754.0,772.6,,47,Wind blowing from the north-northwest,2,,6,no clouds, ,,,-11.2,0.4,,,,,,26.0,-11.3,No precipitation,6,,,,
19.02.2020 14:00,-0.8,753.4,771.9,-0.5,44,Wind blowing from the north-west,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,1.4,,,,,,25.0,-11.7,No precipitation,12,,,,
19.02.2020 11:00,-4.0,753.9,772.3,,52,Wind blowing from the north-west,3,,5,no clouds, ,,,-11.2,1.4,,,,,,29.0,-12.6,No precipitation,6,,,,
19.02.2020 08:00,-10.2,753.0,771.5,1.6,72,Wind blowing from the west-northwest,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,1.4,,,,,,15.0,-14.4,No precipitation,12,,,,
19.02.2020 05:00,-10.5,751.4,769.9,,76,Wind blowing from the west-northwest,2,,6,, ,,,-11.7,1.4,,,,,,23.0,-14.0,No precipitation,6,,,,
19.02.2020 02:00,-7.6,750.8,769.1,,66,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.7,1.4,,,2500 or more  or no clouds.,,,27.0,-12.9,No precipitation,12,,,,
18.02.2020 20:00,-1.9,750.0,768.5,0.5,53,Wind blowing from the south-southwest,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,1.4,,,,,,21.0,-10.4,No precipitation,12,,,,
18.02.2020 17:00,0.4,749.5,767.9,,44,Wind blowing from the north-west,2,,8,no clouds, ,,,-12.7,1.4,,,,,,19.0,-10.6,No precipitation,6,,,,
18.02.2020 14:00,0.8,748.9,767.2,-0.9,40,Wind blowing from the north-west,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,0.8,,,,,,22.0,-11.5,No precipitation,12,,,,
18.02.2020 11:00,-3.7,749.8,768.4,,52,Wind blowing from the west,3,,6,no clouds, ,,,-12.7,-3.7,,,,,,26.0,-12.3,No precipitation,6,,,,
18.02.2020 08:00,-11.0,749.9,768.7,0.5,68,Wind blowing from the west-southwest,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-7.3,,,,,,15.0,-15.8,No precipitation,12,,,,
18.02.2020 05:00,-10.8,749.4,768.1,,62,Wind blowing from the south-west,2,,6,, ,,,-18.3,-7.3,,,,,,22.0,-16.8,No precipitation,6,,,,
18.02.2020 02:00,-9.6,749.8,768.5,,51,Wind blowing from the south-southwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.3,-7.3,,,2500 or more  or no clouds.,,,23.0,-18.0,No precipitation,12,,,,
17.02.2020 20:00,-12.2,750.4,769.6,0.0,69,Wind blowing from the west-southwest,1,,11,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.3,-7.3,,,,,,5.0,-16.8,No precipitation,12,,,,
17.02.2020 17:00,-7.9,750.4,769.4,,47,Wind blowing from the north-northwest,2,,11,no clouds, ,,,-18.3,-7.3,,,,,,24.0,-17.4,No precipitation,6,,,,
17.02.2020 14:00,-7.8,750.0,768.9,-0.8,38,Wind blowing from the north,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.3,-7.8,,,,,,29.0,-19.9,No precipitation,12,,,,
17.02.2020 11:00,-11.2,750.8,769.8,,44,Wind blowing from the north-northeast,4,,9,no clouds, ,,,-18.3,-8.4,,,,,,25.0,-21.2,No precipitation,6,,,,
17.02.2020 08:00,-16.9,750.7,769.9,0.3,66,Wind blowing from the north,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.3,-8.4,,,2500 or more  or no clouds.,,,11.0,-21.8,No precipitation,12,,,,
17.02.2020 05:00,-18.0,750.4,769.4,,75,Wind blowing from the north-northwest,2,,12,, ,,,-18.0,-8.4,,,,,,26.0,-21.4,No precipitation,6,,,,
17.02.2020 02:00,-16.9,750.5,769.5,,73,Wind blowing from the north-northwest,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.9,-8.4,,,2500 or more  or no clouds.,,,26.0,-20.7,No precipitation,12,,,,
16.02.2020 20:00,-12.7,751.0,770.0,0.5,56,Wind blowing from the north-northeast,4,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,-8.4,,,,,,24.0,-19.8,No precipitation,12,,,,
16.02.2020 17:00,-10.1,750.5,769.3,,46,Wind blowing from the north,6,,15,no clouds, ,,,-12.4,-7.6,,,,,,21.0,-19.7,No precipitation,6,,,,
16.02.2020 14:00,-8.7,749.8,768.5,-0.8,40,Wind blowing from the north-northeast,7,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.4,-5.7,,,2500 or more  or no clouds.,,,25.0,-20.1,No precipitation,12,,,,
16.02.2020 11:00,-9.7,750.6,769.3,,41,Wind blowing from the east-northeast,8,,14,no clouds, ,,,-12.4,-5.7,,,,,,20.0,-20.7,No precipitation,6,,,,
16.02.2020 08:00,-12.0,750.8,769.6,1.2,50,Wind blowing from the north-east,5,,11,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.4,-5.7,,,2500 or more  or no clouds.,,,18.0,-20.5,No precipitation,12,,,,
16.02.2020 05:00,-12.2,749.6,768.4,,56,Wind blowing from the east-northeast,5,,11,, ,,,-13.2,-5.7,,,,,,22.0,-19.3,No precipitation,6,,,,
16.02.2020 02:00,-11.6,750.3,769.0,,61,Wind blowing from the north-east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.2,-5.7,,,2500 or more  or no clouds.,,,21.0,-17.7,No precipitation,12,,,,
15.02.2020 20:00,-9.4,752.5,771.4,0.8,65,Wind blowing from the north-northeast,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.2,-5.7,,,2500 or more  or no clouds.,,,18.0,-14.9,No precipitation,12,,,,
15.02.2020 17:00,-7.6,751.7,770.5,,48,Wind blowing from the east-northeast,4,,8,, ,,,-13.2,-5.7,,,,,,18.0,-16.9,No precipitation,6,,,,
15.02.2020 14:00,-5.9,752.9,771.7,-2.3,43,Wind blowing from the north-northeast,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.2,-5.7,,,2500 or more  or no clouds.,,,25.0,-16.7,No precipitation,12,,,,
15.02.2020 11:00,-8.0,755.2,774.1,,47,Wind blowing from the north-east,2,,6,90  or more  but not 100%, ,,,-13.2,-8.0,,,,,,24.0,-17.5,No precipitation,6,,,,
15.02.2020 08:00,-11.7,756.1,775.1,-0.8,58,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.2,-9.2,,,2500 or more  or no clouds.,,,12.0,-18.4,No precipitation,12,,,,
15.02.2020 05:00,-13.2,756.9,775.9,,67,Calm  no wind,0,,,, ,,,-13.2,-9.2,,,,,,23.0,-18.1,No precipitation,6,,,,
15.02.2020 02:00,-13.0,757.7,776.8,,66,Wind blowing from the east-northeast,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.0,-9.2,,,2500 or more  or no clouds.,,,23.0,-18.1,No precipitation,12,,,,
14.02.2020 17:00,-10.1,757.8,776.8,,55,Wind blowing from the north-northeast,3,,13,100%., ,,,-13.0,-5.3,,,1500-2000,,,17.0,-17.6,No precipitation,6,,,,
14.02.2020 14:00,-9.6,757.1,776.0,-0.8,49,Wind blowing from the north-east,5,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.0,,,,2500 or more  or no clouds.,,,25.0,-18.5,No precipitation,12,,,,
14.02.2020 11:00,-11.8,757.9,776.9,,52,Wind blowing from the north-east,4,,13,, ,,,-13.0,,,,,,,23.0,-19.8,No precipitation,6,,,,
14.02.2020 08:00,-12.9,757.1,776.0,1.4,59,Wind blowing from the north-east,4,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.0,2.5,,,,,,19.0,-19.3,Trace of precipitation,12,,,,
14.02.2020 05:00,-11.7,755.7,774.4,,62,Wind blowing from the north-east,3,,12,, ,,,-11.7,2.7,,,,,,26.0,-17.6,No precipitation,6,,,,
14.02.2020 02:00,-10.1,754.8,773.4,,71,Wind blowing from the north-east,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.1,3.6,,,2500 or more  or no clouds.,,,25.0,-14.4,No precipitation,12,,,,
13.02.2020 20:00,-7.1,750.4,768.7,3.3,83,Wind blowing from the north,7,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,3.6,,,1500-2000,,,19.0,-9.6,Trace of precipitation,12,,,,
13.02.2020 17:00,-5.3,747.1,765.2,,92,Calm  no wind,0,,,100%., ,,,-5.3,4.1,,,1500-2000,,,8.0,-6.4,No precipitation,6,,,,
13.02.2020 14:00,-2.9,743.7,761.5,1.7,98,Wind blowing from the north,6,,10,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,5.1,,,2500 or more  or no clouds.,,,3.3,-3.2,Trace of precipitation,12,,,,
13.02.2020 11:00,2.2,742.0,759.7,,97,Wind blowing from the west-northwest,2,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,5.1,,,1500-2000,,,2.3,1.8,No precipitation,6,,,,
13.02.2020 08:00,2.3,740.9,758.5,0.9,97,Wind blowing from the west-southwest,1,,7,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,5.1,,,2500 or more  or no clouds.,,,1.6,1.9,No precipitation,12,,,,
13.02.2020 05:00,2.6,740.0,757.6,,96,Wind blowing from the south-southeast,1,,7,,Mist. ,,,1.6,5.1,,,,,,1.5,2.0,No precipitation,6,,,,
13.02.2020 02:00,3.6,741.1,758.6,,93,Wind blowing from the south-west,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,5.1,,,2500 or more  or no clouds.,,,5.0,2.6,No precipitation,12,,,,
12.02.2020 20:00,3.6,741.7,759.4,0.0,88,Wind blowing from the south,1,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,5.1,,,2500 or more  or no clouds.,,,7.0,1.8,No precipitation,12,,,,
12.02.2020 17:00,4.1,741.7,759.4,,88,Wind blowing from the south,2,,11,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,5.1,,,,,,6.0,2.3,No precipitation,6,,,,
12.02.2020 14:00,4.6,741.8,759.4,,82,Wind blowing from the south-west,3,,15,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,4.7,,,2500 or more  or no clouds.,,,7.0,1.8,No precipitation,12,,,,
12.02.2020 11:00,3.2,742.6,760.3,,88,Wind blowing from the south-west,3,,16,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,4.7,,,,,,6.0,1.4,No precipitation,6,,,,
12.02.2020 08:00,1.9,742.9,760.6,1.3,90,Wind blowing from the south-west,4,,16,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,4.7,,,2500 or more  or no clouds.,,,6.0,0.4,No precipitation,12,,,,
12.02.2020 05:00,2.2,741.6,759.2,,87,Wind blowing from the south-west,5,,16,, ,,,,4.7,,,,,,8.0,0.3,No precipitation,6,,,,
12.02.2020 02:00,2.8,741.3,758.9,,82,Wind blowing from the south-west,7,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,4.7,,,2500 or more  or no clouds.,,,8.0,0.0,No precipitation,12,,,,
11.02.2020 20:00,4.4,740.8,758.5,0.1,73,Wind blowing from the south-west,6,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,4.7,,,2500 or more  or no clouds.,,,8.0,0.0,No precipitation,12,,,,
11.02.2020 17:00,4.4,740.7,758.5,,76,Wind blowing from the south-southwest,7,,14,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.9,4.4,,,,,,7.0,0.4,No precipitation,6,,,,
11.02.2020 14:00,3.4,741.5,759.4,-1.9,79,Wind blowing from the south-southwest,7,,14,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.9,3.4,,,2500 or more  or no clouds.,,,6.0,0.0,No precipitation,12,,,,
11.02.2020 11:00,1.2,743.4,761.4,,82,Wind blowing from the south-west,6,,12,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,1.2,,,,,,6.0,-1.6,No precipitation,6,,,,
11.02.2020 08:00,-2.8,744.2,762.4,-0.3,86,Wind blowing from the south-southwest,4,,,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-2.2,,,2500 or more  or no clouds.,,,4.7,-4.9,No precipitation,12,,,,
11.02.2020 05:00,-2.5,744.5,762.7,,79,Wind blowing from the south-southwest,4,,9,,Mist. ,,,,-2.2,,,,,,5.0,-5.7,No precipitation,6,,,,
11.02.2020 02:00,-3.4,745.9,764.2,,78,Wind blowing from the south,3,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-3.2,,,2500 or more  or no clouds.,,,6.0,-6.8,No precipitation,12,,,,
10.02.2020 20:00,-6.7,747.6,766.3,-0.7,66,Wind blowing from the east-southeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.5,-3.2,,,2500 or more  or no clouds.,,,9.0,-12.1,No precipitation,12,,,,
10.02.2020 17:00,-4.9,748.3,767.0,,68,Wind blowing from the east,3,,7,, ,,,-15.5,-3.2,,,,,,8.0,-10.0,No precipitation,6,,,,
10.02.2020 14:00,-4.1,748.7,767.3,-1.4,59,Wind blowing from the east-southeast,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.5,-2.5,,,,,,14.0,-11.1,No precipitation,12,,,,
10.02.2020 11:00,-8.6,750.1,769.0,,63,Wind blowing from the east-southeast,2,,7,no clouds, ,,,-15.5,-2.5,,,,,,10.0,-14.5,No precipitation,6,,,,
10.02.2020 08:00,-14.5,750.0,768.8,1.1,78,Wind blowing from the east,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.5,-2.5,,,,,,7.0,-17.5,No precipitation,12,,,,
10.02.2020 05:00,-14.8,748.9,767.6,,82,Wind blowing from the east,2,,,, ,,,-15.1,-2.5,,,,,,12.0,-17.2,No precipitation,6,,,,
10.02.2020 02:00,-13.6,748.7,767.3,,77,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.6,-2.5,,,2500 or more  or no clouds.,,,16.0,-16.8,No precipitation,12,,,,
09.02.2020 20:00,-8.7,747.4,766.0,1.5,72,Wind blowing from the east-northeast,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.2,-2.5,,,,,,11.0,-12.9,No precipitation,12,,,,
09.02.2020 17:00,-5.1,745.9,764.4,,64,Wind blowing from the north-west,1,,10,no clouds, ,,,-14.2,-2.5,,,,,,15.0,-11.0,No precipitation,6,,,,
09.02.2020 14:00,-2.9,744.1,762.6,0.0,59,Wind blowing from the north-west,5,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.2,-2.9,,,,,,27.0,-9.9,No precipitation,12,,,,
09.02.2020 11:00,-7.2,744.1,762.7,,68,Wind blowing from the west-southwest,6,,10,70 – 80%., ,,,-14.2,-7.2,,,2500 or more  or no clouds.,,,13.0,-12.2,No precipitation,6,,,,
09.02.2020 08:00,-10.7,745.3,764.0,-2.0,68,Wind blowing from the south-southwest,4,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-7.5,,,2500 or more  or no clouds.,,,13.0,-15.5,No precipitation,12,,,,
09.02.2020 05:00,-12.2,747.3,766.0,,69,Wind blowing from the south,5,,,, ,,,-17.7,-7.5,,,,,,15.0,-16.8,No precipitation,6,,,,
09.02.2020 02:00,-12.9,750.5,769.3,,64,Wind blowing from the south,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.7,-7.5,,,2500 or more  or no clouds.,,,14.0,-18.4,No precipitation,12,,,,
08.02.2020 20:00,-12.1,754.6,773.8,-1.2,58,Wind blowing from the south,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.7,-7.5,,,,,,13.0,-18.8,No precipitation,12,,,,
08.02.2020 17:00,-9.3,755.8,774.9,,55,Wind blowing from the south,2,,5,, ,,,-17.7,-7.5,,,,,,18.0,-16.8,No precipitation,6,,,,
08.02.2020 14:00,-8.1,756.3,775.3,-1.3,45,Wind blowing from the west-southwest,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.7,-7.5,,,,,,28.0,-18.1,No precipitation,12,,,,
08.02.2020 11:00,-9.5,757.6,776.5,,44,Wind blowing from the south,1,,3,no clouds, ,,,-17.7,-9.5,,,,,,21.0,-19.7,No precipitation,6,,,,
08.02.2020 08:00,-17.6,757.0,776.3,1.5,66,Wind blowing from the east-northeast,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-20.0,-9.5,,,2500 or more  or no clouds.,,,3.9,-22.5,No precipitation,12,,,,
08.02.2020 05:00,-14.1,755.5,774.7,,57,Wind blowing from the south-east,1,,3,, ,,,,-9.5,,,,,,20.0,-20.9,No precipitation,6,,,,
08.02.2020 02:00,-14.1,754.8,773.8,,63,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-20.3,-9.5,,,2500 or more  or no clouds.,,,16.0,-19.7,No precipitation,12,,,,
07.02.2020 20:00,-12.6,753.7,773.0,,61,Calm  no wind,0,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-20.3,-9.5,,,2500 or more  or no clouds.,,,8.0,-18.7,No precipitation,12,,,,
07.02.2020 17:00,-11.5,753.2,772.4,,55,Wind blowing from the north-northwest,1,,5,no clouds, ,,,-20.3,-9.5,,,,,,13.0,-18.9,No precipitation,6,,,,
07.02.2020 14:00,-10.2,753.1,772.1,-0.6,46,Wind blowing from the north-northwest,3,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-20.3,-10.2,,,2500 or more  or no clouds.,,,29.0,-19.8,No precipitation,12,,,,
07.02.2020 11:00,-14.7,753.7,772.8,,67,Wind blowing from the west-northwest,2,,9,no clouds, ,,,-20.3,-13.1,,,,,,17.0,-19.6,No precipitation,6,,,,
07.02.2020 08:00,-20.0,752.8,772.2,0.9,70,Wind blowing from the north-west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-22.2,-13.1,,,2500 or more  or no clouds.,,,8.0,-24.1,No precipitation,12,,,,
07.02.2020 05:00,-18.5,751.9,771.2,,72,Wind blowing from the west,2,,9,, ,,,-22.8,-13.1,,,,,,15.0,-22.4,No precipitation,6,,,,
07.02.2020 02:00,-14.3,752.1,771.2,,63,Wind blowing from the west-southwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-13.1,,,2500 or more  or no clouds.,,,17.0,-19.9,No precipitation,12,,,,
06.02.2020 20:00,-14.2,753.1,772.5,-0.2,58,Wind blowing from the south-southwest,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-22.8,-13.1,,,,,,16.0,-20.8,No precipitation,12,,,,
06.02.2020 17:00,-14.0,753.3,772.7,,54,Wind blowing from the south-southwest,4,,8,no clouds, ,,,-22.8,-13.1,,,,,,15.0,-21.4,No precipitation,6,,,,
06.02.2020 14:00,-13.8,755.0,774.4,-2.9,51,Wind blowing from the south,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-22.8,-13.8,,,,,,18.0,-21.9,No precipitation,12,,,,
06.02.2020 11:00,-17.0,757.9,777.5,,53,Wind blowing from the south-west,4,,8,no clouds, ,,,-22.8,-16.7,,,,,,18.0,-24.4,No precipitation,6,,,,
06.02.2020 08:00,-22.2,759.6,779.4,-0.3,65,Wind blowing from the south-southwest,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-26.6,-16.7,,,,,,12.0,-27.1,No precipitation,12,,,,
06.02.2020 05:00,-22.4,759.9,779.7,,68,Wind blowing from the south,3,,6,, ,,,-27.9,-16.7,,,,,,19.0,-26.8,No precipitation,6,,,,
06.02.2020 02:00,-19.7,760.9,780.5,,58,Wind blowing from the south-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-16.7,,,2500 or more  or no clouds.,,,25.0,-26.0,No precipitation,12,,,,
05.02.2020 20:00,-19.3,761.2,781.3,0.7,60,Wind blowing from the south,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-27.9,-16.7,,,,,,22.0,-25.2,No precipitation,12,,,,
05.02.2020 17:00,-17.9,760.5,780.4,,55,Wind blowing from the west,2,,5,no clouds, ,,,-27.9,-16.7,,,,,,15.0,-24.9,No precipitation,6,,,,
05.02.2020 14:00,-17.2,760.0,779.8,-0.4,52,Wind blowing from the west-northwest,4,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-27.9,-16.2,,,,,,29.0,-24.8,No precipitation,12,,,,
05.02.2020 11:00,-20.3,760.4,780.3,,54,Wind blowing from the north,2,,5,no clouds, ,,,-27.9,-16.2,,,,,,24.0,-27.3,No precipitation,6,,,,
05.02.2020 08:00,-26.6,759.6,779.7,1.3,68,Wind blowing from the west-northwest,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-27.9,-16.2,,,,,,8.0,-30.8,No precipitation,12,,,,
