Local time in Beihai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
18.02.2020 23:00,16.7,767.3,768.6,,66,Wind blowing from the east-southeast,3,,,, ,,,13.8,19.1,,,,,,14.0,10.3,No precipitation,6,,,,
18.02.2020 20:00,16.0,766.3,767.5,0.6,56,Wind blowing from the east-northeast,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,19.1,,,600-1000,,,14.0,7.2,No precipitation,12,,,,
18.02.2020 17:00,19.0,765.7,767.0,,36,Wind blowing from the east-southeast,3,,,no clouds, ,,,13.8,19.1,,,,,,26.0,3.6,No precipitation,6,,,,
18.02.2020 14:00,18.2,767.2,768.5,-2.3,38,Wind blowing from the south-east,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,18.8,,,600-1000,,,30.0,3.7,No precipitation,12,,,,
18.02.2020 11:00,17.1,769.5,770.8,,34,Wind blowing from the east,3,,6,90  or more  but not 100%, ,,,12.7,17.2,,,600-1000,,,24.0,1.1,No precipitation,6,,,,
18.02.2020 08:00,13.9,769.4,770.7,1.3,43,Wind blowing from the north-east,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,16.5,,,600-1000,,,27.0,1.5,No precipitation,12,,,,
18.02.2020 05:00,13.9,768.1,769.4,,43,Wind blowing from the north-east,2,,7,, ,,,11.4,16.5,,,,,,27.0,1.5,No precipitation,6,,,,
18.02.2020 02:00,14.4,769.0,770.3,-0.7,39,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,16.5,,,2500 or more  or no clouds.,,,26.0,0.6,No precipitation,12,,,,
17.02.2020 23:00,14.8,769.7,771.0,,36,Wind blowing from the north-east,2,,7,, ,,,11.4,16.5,,,,,,20.0,-0.1,No precipitation,6,,,,
17.02.2020 20:00,15.2,768.7,770.0,1.5,41,Wind blowing from the north-northeast,2,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,16.5,,,600-1000,,,18.0,2.0,No precipitation,12,,,,
17.02.2020 17:00,16.4,767.2,768.5,,36,Wind blowing from the east-northeast,2,,10,90  or more  but not 100%, ,,,11.4,16.5,,,600-1000,,,23.0,1.3,No precipitation,6,,,,
17.02.2020 14:00,14.9,768.4,769.7,-2.2,42,Wind blowing from the north-northeast,2,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,15.2,,,600-1000,,,25.0,2.1,No precipitation,12,,,,
17.02.2020 11:00,12.8,770.6,771.9,,46,Wind blowing from the north-northeast,3,,10,90  or more  but not 100%, ,,,,14.0,,,600-1000,,,30.0,1.5,No precipitation,6,,,,
17.02.2020 08:00,11.5,769.7,771.0,1.9,50,Wind blowing from the north-east,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,14.0,,,600-1000,,,30.0,1.4,No precipitation,12,,,,
17.02.2020 05:00,12.2,767.8,769.0,,52,Wind blowing from the north-northeast,3,,10,, ,,,,14.0,,,,,,30.0,2.6,No precipitation,6,,,,
17.02.2020 02:00,12.3,767.5,768.8,-0.4,52,Wind blowing from the north-east,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,14.4,,,2500 or more  or no clouds.,,,28.0,2.7,No precipitation,12,,,,
16.02.2020 23:00,12.7,767.9,769.2,,52,Wind blowing from the north-east,3,,12,, ,,,9.0,17.2,,,,,,26.0,3.1,No precipitation,6,,,,
16.02.2020 20:00,13.2,766.2,767.5,1.3,54,Wind blowing from the north-east,4,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,,,,600-1000,,,27.0,4.1,3.0,12,,,,
16.02.2020 17:00,13.8,764.9,766.2,,52,Wind blowing from the north-east,5,,15,90  or more  but not 100%, ,,,9.0,,,,600-1000,,,30.0,4.1,0.5,6,,,,
16.02.2020 14:00,11.7,765.9,767.2,-1.4,64,Wind blowing from the north-east,4,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,,,,600-1000,,,30.0,5.1,7.0,12,,,,
16.02.2020 11:00,9.4,767.3,768.6,,79,Wind blowing from the north-east,6,,15,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,,,,300-600,,,30.0,5.9,6.0,6,,,,
16.02.2020 08:00,9.6,765.6,766.9,1.7,79,Wind blowing from the north-east,6,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,28.4,,,300-600,,,11.0,6.1,4.0,12,,,,
16.02.2020 05:00,10.8,763.9,765.2,,79,Wind blowing from the north-northwest,4,,14,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.8,28.4,,,,,,5.0,7.3,0.3,6,,,,
16.02.2020 02:00,14.4,762.1,763.4,1.2,69,Wind blowing from the north-east,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,28.4,,,2500 or more  or no clouds.,,,30.0,8.8,No precipitation,12,,,,
15.02.2020 23:00,17.2,760.9,762.1,,71,Wind blowing from the north-northeast,4,,11,, ,,,17.2,28.4,,,,,,30.0,11.9,No precipitation,6,,,,
15.02.2020 20:00,24.9,757.2,758.4,1.7,78,Wind blowing from the west-northwest,1,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,28.4,,,600-1000,,,12.0,20.8,No precipitation,12,,,,
15.02.2020 17:00,27.5,755.5,756.7,,67,Wind blowing from the north-west,2,,5,70 – 80%., ,,,21.3,28.4,,,600-1000,,,15.0,20.8,No precipitation,6,,,,
15.02.2020 14:00,27.7,755.9,757.1,-2.0,65,Wind blowing from the north-northwest,2,,8,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,27.9,,,600-1000,,,18.0,20.5,No precipitation,12,,,,
15.02.2020 11:00,26.4,757.9,759.1,,70,Wind blowing from the east-northeast,2,,8,70 – 80%., ,,,21.3,26.6,,,600-1000,,,19.0,20.5,No precipitation,6,,,,
15.02.2020 08:00,21.5,756.9,758.1,1.3,95,Wind blowing from the north-east,1,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,25.7,,,600-1000,,,8.0,20.7,No precipitation,12,,,,
15.02.2020 05:00,22.4,755.6,756.8,,89,Wind blowing from the south-east,2,,10,, ,,,20.0,25.7,,,,,,14.0,20.5,No precipitation,6,,,,
15.02.2020 02:00,22.3,755.6,756.8,-1.0,92,Wind blowing from the south-east,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.9,25.7,,,2500 or more  or no clouds.,,,10.0,20.9,No precipitation,12,,,,
14.02.2020 23:00,22.8,756.6,757.8,,92,Wind blowing from the east,4,,10,, ,,,,25.7,,,,,,8.0,21.4,No precipitation,6,,,,
14.02.2020 20:00,24.1,754.9,756.1,0.3,88,Wind blowing from the east,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,25.7,,,600-1000,,,11.0,22.0,No precipitation,12,,,,
14.02.2020 17:00,24.7,754.6,755.8,,78,Wind blowing from the east-southeast,3,,8,40%., ,,,19.0,25.7,,,600-1000,,,19.0,20.6,No precipitation,6,,,,
14.02.2020 14:00,24.8,755.3,756.5,-2.3,84,Wind blowing from the south-east,3,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,25.7,,,600-1000,,,15.0,21.9,11.0,12,,,,
14.02.2020 11:00,23.2,757.6,758.8,,87,Wind blowing from the east,2,,12,90  or more  but not 100%, ,,,19.0,24.3,,,600-1000,,,15.0,20.9,0.1,6,,,,
14.02.2020 08:00,20.8,756.8,758.0,,98,Wind blowing from the east,2,,12,70 – 80%.,Mist. ,Shower(s).,Rain.,19.0,24.3,,,600-1000,,,7.0,20.5,65.0,12,,,,
14.02.2020 02:00,20.5,755.5,756.7,-1.4,94,Wind blowing from the east,4,,12,,Rain  not freezing  intermittent  slight at time of observation. ,Shower(s).,Fog or ice fog or thick haze.,19.0,24.3,,,2500 or more  or no clouds.,,,7.0,19.5,54.0,12,,,,
13.02.2020 23:00,21.3,756.9,758.1,,93,Wind blowing from the east,4,,8,, ,,,19.3,24.3,,,,,,9.0,20.1,No precipitation,6,,,,
13.02.2020 20:00,22.2,756.4,757.6,0.2,90,Wind blowing from the east,5,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.3,24.3,,,600-1000,,,8.0,20.5,No precipitation,12,,,,
13.02.2020 17:00,23.2,756.2,757.4,,87,Wind blowing from the south-east,3,,9,70 – 80%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.3,24.3,,,600-1000,,,6.0,20.9,No precipitation,6,,,,
13.02.2020 14:00,23.8,757.5,758.7,-2.7,81,Wind blowing from the south-east,4,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.3,24.3,,,600-1000,,,12.0,20.3,21.0,12,,,,
13.02.2020 11:00,22.1,760.2,761.4,,84,Wind blowing from the east,4,,9,90  or more  but not 100%, ,,,19.3,23.2,,,600-1000,,,30.0,19.3,20.0,6,,,,
13.02.2020 08:00,19.4,759.9,761.2,1.2,99,Wind blowing from the east,1,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,23.2,,,600-1000,,,5.0,19.2,21.0,12,,,,
13.02.2020 05:00,20.0,758.7,759.9,,98,Wind blowing from the east-northeast,2,,7,,Rain (not freezing) not falling as shower(s). ,,,18.8,23.2,,,,,,2.6,19.7,0.3,6,,,,
13.02.2020 02:00,20.3,759.6,760.8,-1.0,94,Wind blowing from the east,1,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,23.2,,,2500 or more  or no clouds.,,,4.5,19.3,No precipitation,12,,,,
12.02.2020 23:00,21.2,760.6,761.8,,90,Wind blowing from the east-southeast,3,,7,,Mist. ,,,18.8,23.2,,,,,,6.0,19.5,No precipitation,6,,,,
12.02.2020 20:00,21.3,759.7,760.9,0.3,88,Wind blowing from the east-northeast,1,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,23.2,,,600-1000,,,6.0,19.2,No precipitation,12,,,,
12.02.2020 17:00,23.1,759.4,760.6,,78,Wind blowing from the east-southeast,1,,7,100%., ,,,18.8,23.2,,,600-1000,,,9.0,19.1,No precipitation,6,,,,
12.02.2020 14:00,22.1,760.7,762.0,-2.3,84,Wind blowing from the south-east,4,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,22.3,,,2500 or more  or no clouds.,,,6.0,19.3,No precipitation,12,,,,
12.02.2020 11:00,20.2,763.0,764.2,,93,Wind blowing from the south-east,2,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,,,,600-1000,,,3.1,19.0,No precipitation,6,,,,
12.02.2020 08:00,18.9,762.3,763.6,0.4,98,Wind blowing from the east,3,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,600-1000,,,2.5,18.6,No precipitation,12,,,,
12.02.2020 05:00,19.0,761.9,763.2,,96,Wind blowing from the east-southeast,3,,7,,Mist. ,,,15.9,22.3,,,,,,3.1,18.3,No precipitation,6,,,,
12.02.2020 02:00,19.0,762.5,763.8,-0.5,94,Wind blowing from the east,3,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,22.3,,,2500 or more  or no clouds.,,,3.1,18.0,No precipitation,12,,,,
11.02.2020 23:00,19.0,763.0,764.2,,92,Wind blowing from the east-southeast,3,,8,,Mist. ,,,15.6,22.3,,,,,,2.8,17.7,No precipitation,6,,,,
11.02.2020 20:00,19.9,761.8,763.1,0.4,88,Wind blowing from the east-southeast,3,,8,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,22.3,,,2500 or more  or no clouds.,,,6.0,17.9,No precipitation,12,,,,
11.02.2020 17:00,22.1,761.4,762.7,,74,Wind blowing from the east-southeast,3,,8,no clouds, ,,,15.3,22.3,,,,,,8.0,17.3,No precipitation,6,,,,
11.02.2020 14:00,20.3,762.9,764.2,-1.6,79,Wind blowing from the south-east,3,,8,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,20.9,,,600-1000,,,5.0,16.5,No precipitation,12,,,,
11.02.2020 11:00,19.6,764.5,765.7,,79,Wind blowing from the east,3,,6,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,19.9,,,600-1000,,,4.8,15.9,No precipitation,6,,,,
11.02.2020 08:00,16.3,764.0,765.3,0.9,88,Wind blowing from the east-northeast,2,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,600-1000,,,4.8,14.3,No precipitation,12,,,,
11.02.2020 05:00,15.9,763.1,764.4,,85,Wind blowing from the east,1,,,,Mist. ,,,12.3,19.9,,,,,,4.5,13.4,No precipitation,6,,,,
11.02.2020 02:00,15.7,764.5,765.7,-0.4,87,Wind blowing from the east-northeast,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,19.9,,,2500 or more  or no clouds.,,,3.9,13.5,No precipitation,12,,,,
10.02.2020 23:00,15.6,764.9,766.2,,87,Wind blowing from the east,1,,6,,Mist. ,,,12.3,19.9,,,,,,4.3,13.4,No precipitation,6,,,,
10.02.2020 20:00,16.9,764.2,765.5,0.3,80,Wind blowing from the east-northeast,1,,7,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,19.9,,,600-1000,,,5.0,13.4,Trace of precipitation,12,,,,
10.02.2020 17:00,18.9,763.9,765.2,,69,Wind blowing from the east-southeast,3,,7,90  or more  but not 100%, ,,,12.3,19.9,,,1500-2000,,,9.0,13.1,No precipitation,6,,,,
10.02.2020 14:00,18.2,765.1,766.4,-2.3,73,Wind blowing from the east-northeast,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,18.2,,,600-1000,,,7.0,13.3,Trace of precipitation,12,,,,
10.02.2020 11:00,14.4,767.4,768.7,,87,Wind blowing from the east-northeast,4,,7,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,15.5,,,600-1000,,,3.3,12.3,No precipitation,6,,,,
10.02.2020 08:00,12.3,766.8,768.1,1.2,90,Wind blowing from the north-northeast,2,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,,,,600-1000,,,5.0,10.7,Trace of precipitation,12,,,,
10.02.2020 05:00,12.9,765.6,766.9,,78,Wind blowing from the north-east,1,,9,, ,,,12.1,15.5,,,,,,17.0,9.2,No precipitation,6,,,,
10.02.2020 02:00,13.0,766.7,768.0,-1.3,77,Wind blowing from the north-east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,15.5,,,2500 or more  or no clouds.,,,16.0,9.1,No precipitation,12,,,,
09.02.2020 23:00,12.9,768.0,769.3,,77,Wind blowing from the north-northeast,3,,9,, ,,,12.1,15.5,,,,,,15.0,9.0,No precipitation,6,,,,
09.02.2020 20:00,13.5,767.8,769.0,0.8,75,Wind blowing from the north-northeast,4,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,15.5,,,600-1000,,,16.0,9.2,No precipitation,12,,,,
09.02.2020 17:00,14.4,767.0,768.3,,74,Wind blowing from the north-east,4,,9,100%., ,,,12.1,15.5,,,600-1000,,,17.0,9.8,No precipitation,6,,,,
09.02.2020 14:00,14.5,767.9,769.2,-2.3,73,Wind blowing from the north-northeast,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,,,,600-1000,,,20.0,9.7,No precipitation,12,,,,
09.02.2020 11:00,12.4,770.2,771.5,,82,Wind blowing from the north-east,4,,9,100%., ,,,12.1,,,,600-1000,,,20.0,9.4,No precipitation,6,,,,
09.02.2020 08:00,12.4,769.0,770.2,1.3,84,Wind blowing from the north-northwest,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,,,,600-1000,,,23.0,9.8,No precipitation,12,,,,
09.02.2020 05:00,12.9,767.7,769.0,,83,Wind blowing from the north-east,3,,8,, ,,,12.9,,,,,,,21.0,10.1,No precipitation,6,,,,
09.02.2020 02:00,13.2,768.2,769.5,-0.3,83,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,19.9,,,2500 or more  or no clouds.,,,17.0,10.4,No precipitation,12,,,,
08.02.2020 23:00,13.7,768.5,769.8,,82,Wind blowing from the north-northeast,3,,9,, ,,,13.5,19.9,,,,,,18.0,10.7,No precipitation,6,,,,
08.02.2020 20:00,14.0,767.2,768.4,1.4,83,Wind blowing from the north-northeast,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,19.9,,,600-1000,,,15.0,11.2,No precipitation,12,,,,
08.02.2020 17:00,15.4,765.8,767.1,,79,Wind blowing from the north-northwest,4,,9,90  or more  but not 100%, ,,,15.0,19.9,,,600-1000,,,19.0,11.8,No precipitation,6,,,,
08.02.2020 14:00,19.8,765.7,767.0,-1.4,69,Wind blowing from the north-east,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,19.9,,,600-1000,,,17.0,14.0,No precipitation,12,,,,
08.02.2020 11:00,17.3,767.1,768.4,,84,Wind blowing from the north-northeast,3,,7,100%., ,,,15.0,19.1,,,600-1000,,,9.0,14.6,No precipitation,6,,,,
08.02.2020 08:00,15.3,766.0,767.2,1.4,92,Wind blowing from the north-east,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,,,,600-1000,,,9.0,14.0,No precipitation,12,,,,
08.02.2020 05:00,15.3,764.6,765.9,,92,Wind blowing from the north-northwest,3,,8,, ,,,15.3,19.7,,,,,,7.0,14.0,No precipitation,6,,,,
08.02.2020 02:00,16.0,765.1,766.4,-0.2,88,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,19.7,,,2500 or more  or no clouds.,,,10.0,14.0,No precipitation,12,,,,
07.02.2020 23:00,16.2,765.3,766.6,,90,Wind blowing from the north-northwest,1,,8,, ,,,16.1,20.1,,,,,,8.0,14.6,No precipitation,6,,,,
07.02.2020 20:00,16.4,764.2,765.4,1.4,90,Wind blowing from the north-northeast,1,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.4,21.8,,,600-1000,,,9.0,14.8,No precipitation,12,,,,
07.02.2020 17:00,17.6,762.8,764.1,,88,Wind blowing from the north-northwest,2,,6,100%., ,,,17.3,,,,600-1000,,,10.0,15.6,No precipitation,6,,,,
07.02.2020 14:00,17.5,763.6,764.8,-1.6,94,Wind blowing from the north-northwest,2,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,,,,600-1000,,,5.0,16.5,No precipitation,12,,,,
07.02.2020 11:00,17.6,765.2,766.5,,96,Wind blowing from the north-northeast,2,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,,,,600-1000,,,5.0,17.0,No precipitation,6,,,,
07.02.2020 08:00,18.9,764.0,765.3,2.0,98,Wind blowing from the east,1,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,24.0,,,600-1000,,,1.5,18.6,No precipitation,12,,,,
07.02.2020 05:00,19.3,762.0,763.3,,95,Wind blowing from the east,3,,7,,Mist. ,,,18.4,24.0,,,,,,4.4,18.5,No precipitation,6,,,,
07.02.2020 02:00,19.5,762.1,763.4,-0.3,94,Wind blowing from the east-southeast,4,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,24.0,,,2500 or more  or no clouds.,,,4.9,18.5,No precipitation,12,,,,
06.02.2020 23:00,20.0,762.4,763.6,,93,Wind blowing from the east,3,,8,,Mist. ,,,18.1,24.0,,,,,,4.0,18.8,No precipitation,6,,,,
06.02.2020 20:00,21.8,760.8,762.1,1.0,85,Wind blowing from the east-southeast,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,24.0,,,600-1000,,,11.0,19.2,No precipitation,12,,,,
06.02.2020 17:00,23.3,759.8,761.0,,72,Wind blowing from the south-southeast,2,,9,100%., ,,,15.8,24.0,,,600-1000,,,17.0,18.0,No precipitation,6,,,,
06.02.2020 14:00,23.1,760.7,762.0,-2.2,79,Wind blowing from the south-east,3,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,23.1,,,600-1000,,,11.0,19.3,3.0,12,,,,
06.02.2020 11:00,21.1,762.9,764.2,,87,Wind blowing from the east-southeast,4,,9,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,21.1,,,600-1000,,,7.0,18.9,0.5,6,,,,
06.02.2020 08:00,18.6,761.8,763.1,0.8,96,Wind blowing from the east-southeast,3,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,19.1,,,300-600,,,5.0,17.9,3.0,12,,,,
06.02.2020 05:00,18.5,761.0,762.3,,95,Wind blowing from the east,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.2,18.8,,,,,,4.6,17.7,2.0,6,,,,
06.02.2020 02:00,18.6,761.9,763.2,-0.5,91,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,18.7,,,2500 or more  or no clouds.,,,7.0,17.1,No precipitation,12,,,,
05.02.2020 23:00,18.1,762.4,763.7,,92,Wind blowing from the east,3,,,,Mist. ,,,13.1,18.4,,,,,,4.9,16.8,No precipitation,6,,,,
05.02.2020 20:00,15.9,761.8,763.0,0.6,92,Wind blowing from the east,1,,,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,18.4,,,600-1000,,,3.1,14.6,Trace of precipitation,12,,,,
05.02.2020 17:00,16.7,761.2,762.5,,84,Wind blowing from the north-northwest,3,,6,100%., ,,,13.0,18.4,,,600-1000,,,8.0,14.0,No precipitation,6,,,,
05.02.2020 14:00,16.2,762.4,763.6,-1.9,84,Wind blowing from the north-northeast,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,16.6,,,600-1000,,,7.0,13.5,No precipitation,12,,,,
05.02.2020 11:00,16.4,764.3,765.6,,86,Wind blowing from the east-northeast,2,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,16.4,,,600-1000,,,5.0,14.1,No precipitation,6,,,,
05.02.2020 08:00,13.4,763.7,765.0,0.7,95,Wind blowing from the east-northeast,2,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,600-1000,,,4.5,12.6,No precipitation,12,,,,
05.02.2020 05:00,13.5,763.0,764.2,,89,Wind blowing from the north,1,,7,, ,,,12.5,14.4,,,,,,10.0,11.7,No precipitation,6,,,,
