Local time in Bijie,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
09.03.2020 14:00,8.6,635.8,761.6,-0.6,83,Wind blowing from the north-northeast,2,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,,,,2500 or more  or no clouds.,,,21.0,5.9,0.3,12,,,,
09.03.2020 11:00,9.3,636.4,761.9,,81,Wind blowing from the west-northwest,2,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,,,,300-600,,,18.0,6.2,0.3,6,,,,
09.03.2020 08:00,8.9,635.1,759.9,1.3,89,Wind blowing from the west,1,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,,,,300-600,,,6.0,7.2,No precipitation,12,,,,
09.03.2020 05:00,9.4,633.8,756.8,,82,Wind blowing from the north-northwest,1,,7,, ,,,9.0,22.8,,,,,,7.0,6.5,No precipitation,6,,,,
09.03.2020 02:00,10.1,633.4,755.5,,82,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,22.8,,,2500 or more  or no clouds.,,,13.0,7.2,No precipitation,12,,,,
08.03.2020 20:00,13.1,630.5,754.3,3.4,74,Wind blowing from the north,2,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,22.8,,,1000-1500,,,5.0,8.6,No precipitation,12,,,,
08.03.2020 17:00,19.4,627.1,748.9,,52,Wind blowing from the north,3,,7,20–30%., ,,,8.7,22.8,,,2500 or more  or no clouds.,,,10.0,9.3,No precipitation,6,,,,
08.03.2020 14:00,22.6,626.8,747.7,-2.7,38,Wind blowing from the south-east,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,22.7,,,,,,12.0,7.6,No precipitation,12,,,,
08.03.2020 11:00,14.8,629.5,752.8,,62,Wind blowing from the east,1,,2,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,16.6,,,,,,6.0,7.6,No precipitation,6,,,,
08.03.2020 08:00,9.7,629.2,753.0,0.5,89,Wind blowing from the east-northeast,1,,2,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,16.6,,,2500 or more  or no clouds.,,,3.5,8.0,No precipitation,12,,,,
08.03.2020 05:00,8.9,628.7,751.5,,94,Wind blowing from the north-northwest,1,,3,,Mist. ,,,7.4,16.6,,,,,,2.6,8.0,No precipitation,6,,,,
08.03.2020 02:00,8.9,630.1,754.3,,92,Wind blowing from the west-southwest,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,16.6,,,2500 or more  or no clouds.,,,3.0,7.7,No precipitation,12,,,,
07.03.2020 20:00,11.8,631.7,756.5,0.7,78,Wind blowing from the east-northeast,1,,,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,16.6,,,,,,5.0,8.1,No precipitation,12,,,,
07.03.2020 17:00,16.4,631.0,754.5,,59,Wind blowing from the east,1,,,10%  or less  but not 0, ,,,,,,,1000-1500,,,7.0,8.4,,,,,,
07.03.2020 14:00,11.6,632.7,757.3,-2.3,78,Wind blowing from the north,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,16.4,,,300-600,,,5.0,7.9,No precipitation,12,,,,
07.03.2020 11:00,9.3,635.0,760.3,,86,Wind blowing from the south,1,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,,,,300-600,,,6.0,7.1,No precipitation,6,,,,
07.03.2020 08:00,7.5,635.2,760.8,0.7,91,Wind blowing from the north-northeast,1,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,16.4,,,300-600,,,6.0,6.1,No precipitation,12,,,,
07.03.2020 05:00,8.2,634.5,759.0,,92,Wind blowing from the north-northeast,1,,6,,Mist. ,,,6.9,16.4,,,,,,3.1,7.0,No precipitation,6,,,,
07.03.2020 02:00,9.1,635.2,759.6,,83,Wind blowing from the north,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,16.4,,,2500 or more  or no clouds.,,,6.0,6.4,No precipitation,12,,,,
06.03.2020 20:00,11.2,634.0,759.5,1.5,72,Wind blowing from the north-east,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,16.4,,,2500 or more  or no clouds.,,,9.0,6.3,No precipitation,12,,,,
06.03.2020 17:00,14.6,632.5,756.9,,58,Wind blowing from the north-northeast,3,,,no clouds, ,,,,,,,,,,13.0,6.4,,,,,,
06.03.2020 14:00,15.0,632.9,757.2,-2.2,57,Wind blowing from the south-east,2,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,15.1,,,,,,10.0,6.6,No precipitation,12,,,,
06.03.2020 11:00,9.2,635.1,761.0,,80,Wind blowing from the east-northeast,1,,2,100%., ,,,6.9,,,,300-600,,,10.0,5.9,No precipitation,6,,,,
06.03.2020 08:00,7.1,634.5,760.6,1.4,88,Wind blowing from the north-east,1,,2,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,,,,300-600,,,10.0,5.2,No precipitation,12,,,,
06.03.2020 05:00,6.9,633.1,758.2,,92,Wind blowing from the east,1,,,,Mist. ,,,5.7,14.3,,,,,,3.6,5.7,No precipitation,6,,,,
06.03.2020 02:00,7.5,633.6,758.6,,90,Wind blowing from the north-east,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,14.3,,,2500 or more  or no clouds.,,,3.1,6.0,No precipitation,12,,,,
05.03.2020 20:00,9.1,633.7,759.9,1.2,81,Wind blowing from the north-northeast,1,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,14.3,,,1000-1500,,,5.0,6.0,No precipitation,12,,,,
05.03.2020 17:00,12.6,632.5,757.6,,70,Wind blowing from the east-northeast,2,,,100%., ,,,,,,,600-1000,,,11.0,7.3,,,,,,
05.03.2020 14:00,12.3,634.3,759.8,-3.4,68,Wind blowing from the east-southeast,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,12.3,,,2500 or more  or no clouds.,,,9.0,6.6,No precipitation,12,,,,
05.03.2020 11:00,7.5,637.7,765.0,,85,Wind blowing from the east-southeast,1,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,9.8,,,300-600,,,5.0,5.1,No precipitation,6,,,,
05.03.2020 08:00,5.9,637.5,764.9,-0.1,91,Wind blowing from the east-southeast,2,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,,,,300-600,,,3.7,4.5,No precipitation,12,,,,
05.03.2020 05:00,5.8,637.6,764.6,,90,Wind blowing from the east-southeast,2,,5,,Mist. ,,,4.3,9.8,,,,,,4.0,4.3,No precipitation,6,,,,
05.03.2020 02:00,6.3,638.7,766.0,,84,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,9.8,,,2500 or more  or no clouds.,,,8.0,3.8,No precipitation,12,,,,
04.03.2020 20:00,7.2,639.0,767.1,0.5,74,Wind blowing from the east,1,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,9.8,,,300-600,,,11.0,2.9,No precipitation,12,,,,
04.03.2020 17:00,9.2,638.5,766.0,,65,Wind blowing from the east-northeast,1,,,100%., ,,,,,,,300-600,,,23.0,2.8,,,,,,
04.03.2020 14:00,8.5,639.7,767.5,-2.4,64,Wind blowing from the south-east,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,8.5,,,600-1000,,,25.0,1.9,No precipitation,12,,,,
04.03.2020 11:00,5.8,642.1,771.0,,75,Wind blowing from the west,1,,4,100%., ,,,4.3,7.4,,,300-600,,,25.0,1.7,No precipitation,6,,,,
04.03.2020 08:00,4.4,640.9,769.9,1.0,84,Wind blowing from the west-southwest,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,7.4,,,300-600,,,17.0,1.9,No precipitation,12,,,,
04.03.2020 05:00,4.7,639.9,768.5,,86,Wind blowing from the north,1,,,, ,,,,,,,,,,12.0,2.6,,,,,,
04.03.2020 02:00,4.7,640.3,768.8,,89,Wind blowing from the north-northwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,7.4,,,2500 or more  or no clouds.,,,7.0,3.0,No precipitation,12,,,,
03.03.2020 20:00,5.6,639.6,767.8,1.4,80,Wind blowing from the north-west,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,7.4,,,300-600,,,23.0,2.3,No precipitation,12,,,,
03.03.2020 17:00,5.6,638.2,766.0,,80,Wind blowing from the north,1,,,100%., ,,,,,,,300-600,,,21.0,2.3,,,,,,
03.03.2020 14:00,6.6,638.6,766.3,-1.4,72,Wind blowing from the north-northwest,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,,,,600-1000,,,30.0,1.9,No precipitation,12,,,,
03.03.2020 11:00,6.8,640.0,767.8,,74,Wind blowing from the north-northwest,2,,5,100%., ,,,6.1,,,,600-1000,,,30.0,2.5,No precipitation,6,,,,
03.03.2020 08:00,6.2,639.1,766.8,1.6,82,Wind blowing from the north,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,,,,600-1000,,,24.0,3.4,No precipitation,12,,,,
03.03.2020 05:00,6.6,637.5,764.6,,85,Wind blowing from the north-west,1,,,, ,,,,,,,,,,22.0,4.3,,,,,,
03.03.2020 02:00,6.5,637.9,764.8,,87,Wind blowing from the north-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,10.4,,,2500 or more  or no clouds.,,,17.0,4.5,0.2,12,,,,
02.03.2020 20:00,7.1,637.2,763.6,1.5,90,Wind blowing from the north,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,11.7,,,300-600,,,6.0,5.6,0.2,12,,,,
02.03.2020 17:00,7.8,635.7,761.6,,86,Wind blowing from the north-northeast,1,,6,100%., ,,,7.8,12.3,,,300-600,,,10.0,5.6,No precipitation,6,,,,
02.03.2020 14:00,9.1,635.6,761.2,-0.7,84,Wind blowing from the north-northeast,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,,,,600-1000,,,24.0,6.5,No precipitation,12,,,,
02.03.2020 11:00,10.2,636.3,761.7,,85,Wind blowing from the north-northeast,1,,5,100%., ,,,9.4,,,,300-600,,,18.0,7.8,No precipitation,6,,,,
02.03.2020 08:00,9.7,635.2,760.3,1.1,91,Wind blowing from the north-northeast,1,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,14.3,,,300-600,,,6.0,8.3,No precipitation,12,,,,
02.03.2020 05:00,10.2,634.1,758.6,,93,Wind blowing from the east-southeast,1,,,, ,,,,,,,,,,9.0,9.1,,,,,,
02.03.2020 02:00,10.0,635.4,759.8,,92,Wind blowing from the east-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,14.3,,,2500 or more  or no clouds.,,,14.0,8.8,No precipitation,12,,,,
01.03.2020 20:00,11.7,635.8,760.6,0.4,84,Wind blowing from the east-southeast,2,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,14.5,,,300-600,,,4.9,9.1,0.3,12,,,,
01.03.2020 17:00,12.3,635.4,759.7,,82,Wind blowing from the north,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,,,,,,,5.0,9.3,0.1,6,,,,
01.03.2020 14:00,13.8,636.7,760.9,-1.6,76,Wind blowing from the east-northeast,1,,,90  or more  but not 100%,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,,,,2500 or more  or no clouds.,,,6.0,9.6,0.3,12,,,,
01.03.2020 11:00,11.5,638.3,763.4,,87,Wind blowing from the north-northeast,1,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,,,,300-600,,,4.8,9.4,0.2,6,,,,
01.03.2020 08:00,11.1,637.3,761.7,1.1,92,Wind blowing from the north-northeast,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,,,,300-600,,,4.0,9.9,No precipitation,12,,,,
01.03.2020 05:00,11.8,636.2,759.1,,87,Wind blowing from the east-northeast,2,,5,,Mist. ,,,10.7,20.7,,,,,,5.0,9.7,No precipitation,6,,,,
01.03.2020 02:00,12.4,636.4,759.4,,84,Wind blowing from the east-northeast,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,20.7,,,2500 or more  or no clouds.,,,7.0,9.8,No precipitation,12,,,,
29.02.2020 20:00,14.5,634.7,758.7,1.6,69,Wind blowing from the north-east,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,20.7,,,,,,13.0,8.9,No precipitation,12,,,,
29.02.2020 17:00,19.7,633.1,755.5,,44,Wind blowing from the north-northeast,2,,,10%  or less  but not 0, ,,,,,,,600-1000,,,21.0,7.1,,,,,,
29.02.2020 14:00,18.8,633.7,756.4,-1.8,50,Wind blowing from the south-east,2,,3,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,18.8,,,600-1000,,,7.0,8.2,No precipitation,12,,,,
29.02.2020 11:00,14.5,635.5,759.4,,73,Wind blowing from the east,1,,3,70 – 80%., ,,,10.5,14.6,,,600-1000,,,8.0,9.7,No precipitation,6,,,,
29.02.2020 08:00,10.8,635.0,759.7,0.5,91,Wind blowing from the east-northeast,1,,2,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,14.0,,,300-600,,,6.0,9.4,No precipitation,12,,,,
29.02.2020 05:00,10.9,634.5,758.6,,90,Wind blowing from the north-northeast,1,,4,,Mist. ,,,9.6,14.0,,,,,,5.0,9.3,No precipitation,6,,,,
29.02.2020 02:00,11.5,635.3,759.7,,89,Wind blowing from the north-west,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,14.0,,,2500 or more  or no clouds.,,,6.0,9.8,No precipitation,12,,,,
28.02.2020 20:00,12.0,635.7,760.7,0.8,83,Wind blowing from the east-northeast,2,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,18.0,,,600-1000,,,9.0,9.2,2.0,12,,,,
28.02.2020 17:00,13.6,634.9,759.1,,76,Wind blowing from the east-northeast,1,,,100%., ,,,,,,,600-1000,,,13.0,9.5,,,,,,
28.02.2020 14:00,12.5,636.4,760.8,-1.9,77,Wind blowing from the south-southeast,1,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,,,,600-1000,,,12.0,8.6,3.0,12,,,,
28.02.2020 11:00,10.6,638.3,763.3,,91,Wind blowing from the west-southwest,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,,,,300-600,,,4.5,9.2,2.0,6,,,,
28.02.2020 08:00,9.7,637.1,760.9,1.6,92,Wind blowing from the north-east,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,24.7,,,300-600,,,1.8,8.5,1.0,12,,,,
28.02.2020 05:00,11.1,635.5,757.5,,84,Wind blowing from the north-east,1,,,, ,,,,,,,,,,10.0,8.5,,,,,,
28.02.2020 02:00,12.2,635.7,757.5,,88,Wind blowing from the north-west,1,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,24.7,,,2500 or more  or no clouds.,,,3.8,10.3,No precipitation,12,,,,
27.02.2020 20:00,18.1,634.6,757.7,1.7,62,Wind blowing from the north-east,1,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,24.7,,,600-1000,,,6.0,10.7,No precipitation,12,,,,
27.02.2020 17:00,23.7,632.9,754.3,,38,Wind blowing from the south-southeast,3,,,20–30%., ,,,,,,,600-1000,,,15.0,8.6,,,,,,
27.02.2020 14:00,23.5,634.0,755.5,-2.9,43,Wind blowing from the south,2,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,23.5,,,600-1000,,,12.0,10.2,No precipitation,12,,,,
27.02.2020 11:00,14.7,636.9,760.7,,77,Wind blowing from the north-east,1,,2,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,20.8,,,,,,4.7,10.7,No precipitation,6,,,,
27.02.2020 08:00,10.9,636.9,761.1,0.7,91,Wind blowing from the west-northwest,0,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,20.8,,,300-600,,,2.7,9.5,No precipitation,12,,,,
27.02.2020 05:00,11.4,636.2,758.9,,85,Wind blowing from the north-northwest,1,,6,,Mist. ,,,10.2,20.8,,,,,,3.5,9.0,No precipitation,6,,,,
27.02.2020 02:00,11.9,637.2,760.7,,82,Wind blowing from the north-west,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,20.8,,,2500 or more  or no clouds.,,,4.4,8.9,No precipitation,12,,,,
26.02.2020 20:00,15.1,636.2,760.5,1.3,68,Wind blowing from the north,1,,6,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,20.8,,,2500 or more  or no clouds.,,,6.0,9.2,No precipitation,12,,,,
26.02.2020 17:00,20.5,634.9,757.5,,51,Wind blowing from the east,2,,,20–30%., ,,,,,,,2500 or more  or no clouds.,,,9.0,10.0,,,,,,
26.02.2020 14:00,17.3,636.7,760.2,-2.3,62,Wind blowing from the east,1,,4,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,21.1,,,2500 or more  or no clouds.,,,6.0,10.0,No precipitation,12,,,,
26.02.2020 11:00,12.4,639.0,764.0,,74,Wind blowing from the north,1,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,,,,600-1000,,,5.0,7.9,No precipitation,6,,,,
26.02.2020 08:00,10.3,638.2,762.9,1.0,79,Wind blowing from the east,1,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,21.1,,,600-1000,,,7.0,6.8,No precipitation,12,,,,
26.02.2020 05:00,10.8,637.2,760.4,,76,Wind blowing from the north-east,1,,,, ,,,,,,,,,,8.0,6.7,,,,,,
26.02.2020 02:00,11.5,637.5,760.9,,74,Wind blowing from the north-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,21.1,,,2500 or more  or no clouds.,,,10.0,7.0,No precipitation,12,,,,
25.02.2020 20:00,14.5,636.4,761.7,,59,Wind blowing from the north-northeast,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,21.1,,,2500 or more  or no clouds.,,,14.0,6.6,No precipitation,12,,,,
25.02.2020 14:00,18.2,635.7,759.9,-2.2,42,Wind blowing from the east,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,18.3,,,,,,16.0,5.1,0.2,12,,,,
25.02.2020 11:00,12.7,637.9,763.7,,63,Wind blowing from the east,2,,4,no clouds, ,,,6.2,15.9,,,,,,14.0,5.8,0.1,6,,,,
25.02.2020 08:00,6.4,637.6,764.8,0.8,95,Wind blowing from the east,1,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,,,,300-600,,,7.0,5.7,0.2,12,,,,
25.02.2020 05:00,6.5,636.8,763.0,,94,Wind blowing from the north-east,1,,4,,Mist. ,,,6.5,15.9,,,,,,3.3,5.6,0.1,6,,,,
25.02.2020 02:00,6.9,637.0,762.3,,93,Wind blowing from the north-northeast,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,15.9,,,2500 or more  or no clouds.,,,2.5,5.8,No precipitation,12,,,,
24.02.2020 20:00,7.8,635.5,762.1,1.5,87,Wind blowing from the north-northeast,1,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,15.9,,,1000-1500,,,5.0,5.8,No precipitation,12,,,,
24.02.2020 17:00,10.9,634.0,759.6,,72,Wind blowing from the north-northeast,2,,6,90  or more  but not 100%, ,,,6.5,16.3,,,,,,9.0,6.1,No precipitation,6,,,,
24.02.2020 14:00,15.0,634.0,757.8,-1.3,63,Wind blowing from the north-east,2,,4,10%  or less  but not 0,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,17.5,,,1000-1500,,,13.0,8.0,No precipitation,12,,,,
24.02.2020 11:00,11.6,635.3,759.3,,83,Wind blowing from the north,1,,5,20–30%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,17.5,,,1000-1500,,,4.0,8.8,No precipitation,6,,,,
24.02.2020 08:00,6.9,634.6,759.6,0.6,97,Wind blowing from the east,1,,8,100%.,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,17.5,,,2500 or more  or no clouds.,,,0.1,6.5,No precipitation,12,,,,
24.02.2020 05:00,7.1,634.0,758.2,,94,Wind blowing from the west-northwest,1,,8,,Mist. ,,,5.0,17.5,,,,,,4.0,6.2,No precipitation,6,,,,
24.02.2020 02:00,10.4,634.9,759.5,,90,Wind blowing from the west-northwest,1,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,17.5,,,2500 or more  or no clouds.,,,5.0,8.8,No precipitation,12,,,,
23.02.2020 20:00,14.2,635.8,761.5,0.6,73,Wind blowing from the south,1,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,17.5,,,600-1000,,,8.0,9.4,No precipitation,12,,,,
23.02.2020 17:00,16.3,635.2,760.1,,65,Wind blowing from the south-southeast,3,,,20–30%., ,,,,,,,600-1000,,,9.0,9.7,,,,,,
23.02.2020 14:00,12.4,637.6,763.9,-3.1,80,Wind blowing from the east-southeast,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,12.4,,,2500 or more  or no clouds.,,,10.0,9.1,No precipitation,12,,,,
23.02.2020 11:00,7.0,640.7,768.8,,92,Wind blowing from the north,1,,2,100%., ,,,5.0,8.3,,,300-600,,,8.0,5.8,No precipitation,6,,,,
23.02.2020 08:00,5.0,640.6,769.0,-0.2,95,Wind blowing from the east,1,,3,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,8.3,,,300-600,,,4.6,4.3,1.0,12,,,,
23.02.2020 05:00,5.1,640.8,768.8,,95,Calm  no wind,0,,,,Mist. ,,,5.1,8.3,,,,,,6.0,4.4,0.7,6,,,,
